ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED
NO	2013	01-APR-13	PLACER	31	LANDSCAPE MAINTENANCE	ALLECTUS G INSECTICIDE	.375	BIFENTHRIN	.0006
NO	2013	01-APR-13	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT GC SC	4.54	BIFENTHRIN	.55842
NO	2013	01-SEP-13	PLACER	31	LANDSCAPE MAINTENANCE	ALOFT LC SC	4.649	BIFENTHRIN	.571827
NO	2013	01-JUL-13	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	.8173	BIFENTHRIN	.0645667
NO	2013	01-OCT-13	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	2.5882	BIFENTHRIN	.2044678
NO	2013	01-NOV-13	PLACER	31	LANDSCAPE MAINTENANCE	BISECT L	1.4303	BIFENTHRIN	.1129937
NO	2013	01-NOV-13	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.1333	BIFENTHRIN	.0105307
NO	2013	01-SEP-13	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.1333	BIFENTHRIN	.0105307
NO	2013	01-JUL-13	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.1993	BIFENTHRIN	.0947447
NO	2013	01-AUG-13	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.6663	BIFENTHRIN	.0526377
NO	2013	01-NOV-13	PLACER	31	LANDSCAPE MAINTENANCE	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	.1466	BIFENTHRIN	.0115814
NO	2013	01-MAY-13	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	.1703	BIFENTHRIN	.0134537
NO	2013	01-JUL-13	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	.7765	BIFENTHRIN	.0613435
NO	2013	01-JUN-13	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	1.4984	BIFENTHRIN	.1183736
NO	2013	01-OCT-13	PLACER	31	LANDSCAPE MAINTENANCE	MASTERLINE BIFENTHRIN 7.9 TERMITICIDE/INSECTICIDE	.1362	BIFENTHRIN	.0107598
NO	2013	01-AUG-13	PLACER	31	LANDSCAPE MAINTENANCE	QUALI-PRO BIFENTHRIN NURSERY 7.9F	4.189	BIFENTHRIN	.330931
NO	2013	01-JAN-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR EZ GRANULAR INSECTICIDE	.8125	BIFENTHRIN	.001625
NO	2013	01-AUG-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	4.0625	BIFENTHRIN	.008125
NO	2013	01-JUL-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	68.5	BIFENTHRIN	.137
NO	2013	01-MAY-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.5	BIFENTHRIN	.003
NO	2013	01-JUL-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	2.0625	BIFENTHRIN	.004125
NO	2013	01-MAR-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	10	BIFENTHRIN	.02
NO	2013	01-FEB-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.0625	BIFENTHRIN	.002125
NO	2013	01-JUN-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	3.5938	BIFENTHRIN	.0071876
NO	2013	01-DEC-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.375	BIFENTHRIN	.00275
NO	2013	01-OCT-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	1.5938	BIFENTHRIN	.0031876
NO	2013	01-SEP-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PL GRANULAR INSECTICIDE	8	BIFENTHRIN	.016
NO	2013	01-JUN-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	6.3737	BIFENTHRIN	.5035223
NO	2013	01-MAR-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	2.5495	BIFENTHRIN	.2014105
NO	2013	01-APR-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	4.8865	BIFENTHRIN	.3860335
NO	2013	01-OCT-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	2.1246	BIFENTHRIN	.1678434
NO	2013	01-AUG-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	6.7986	BIFENTHRIN	.5370894
NO	2013	01-NOV-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	2.5495	BIFENTHRIN	.2014105
NO	2013	01-MAY-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	25.4948	BIFENTHRIN	2.0140892
NO	2013	01-SEP-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	.239	BIFENTHRIN	.018881
NO	2013	01-JUL-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	5.5239	BIFENTHRIN	.4363881
NO	2013	01-JUL-13	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR TERMITICIDE/INSECTICIDE	24.6515	BIFENTHRIN	1.9474685
NO	2013	01-AUG-13	PLACER	31	LANDSCAPE MAINTENANCE	UP-STAR GOLD INSECTICIDE	.0673	BIFENTHRIN	.0053167
NO	2013	01-SEP-13	PLACER	31	LANDSCAPE MAINTENANCE	UP-STAR GOLD INSECTICIDE	.1346	BIFENTHRIN	.0106334
NO	2013	01-OCT-13	PLACER	31	LANDSCAPE MAINTENANCE	UP-STAR GOLD INSECTICIDE	1.8841	BIFENTHRIN	.1488439
NO	2013	01-SEP-13	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	7.8881	BIFENTHRIN	.6231599
NO	2013	01-DEC-13	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	11.4859	BIFENTHRIN	.9073861
NO	2013	01-MAR-13	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	17.7187	BIFENTHRIN	1.3997773
NO	2013	01-FEB-13	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	14.104	BIFENTHRIN	1.114216
