"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","uslec_c","MNGN","bd1","fc","WP","OC","dep","app_rate","app_eff","DWRATE","DSRATE","kd","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf","przm_max_h2","pwc_max_peak","pwc_max_h2","pwc_max_benthic","Conv.Factor","max_sed"
"1",0.758,18.836,0.339,4.67,0.266,41.014,2033.766,95.955,0.975,0.044,1.553,0.108,0.17,1.653,3.299,1.113,0.742,0.022,0.022,1315.133,243.301,20.167,362.86,23.154,304.125,40,249.707,0.108,0.931,0.688,1.205,0.012,49.883,3.861,23.141,1.042,0.08,1.673,2.744,0.001,6.7111,0.065159,0.049549,0.0019086,1320,2.519352
"2",0.738,16.755,0.257,1.348,0.395,41.149,4932.058,69.788,0.796,0.291,1.347,0.128,0.148,0.198,3.761,1.999,0.103,0.079,0.079,5248.529,170.904,22.284,121.421,24.474,409.921,40,265.095,0.637,0.761,0.587,1.171,0.005,47.222,2.471,58.187,0.156,0.017,10.635,4.343,0.001,2.2788,0.00063293,0.00049071,6.8947e-06,5270,0.036335069
"3",0.762,19.514,0.196,0.702,0.953,35.342,3005.185,52.073,0.223,0.048,1.531,0.06,0.244,0.885,1.118,1.443,0.301,0.128,0.128,4919.106,33.939,21.589,279.946,23.039,323.589,40,10.304,0.052,0.825,0.16,1.434,0.017,9.937,1.271,27.822,0.461,0.077,1.271,8.21,0.001,0.61663,0.0018388,0.00085813,6.2473e-06,4920,0.030736716
"4",0.721,18.938,0.227,1.493,0.276,6.934,3635.152,52.422,0.199,0.433,1.533,0.141,0.223,1.977,1.916,1.465,0.363,0.107,0.107,5591.329,271.668,22.764,692.182,21.909,333.72,40,258.156,0.46,0.879,0.243,1.079,0.004,43.927,2.433,16.531,1.389,0.139,8.983,3.271,0.001,0.62072,0.00043841,0.00036877,8.8792e-06,5610,0.049812312
"5",0.748,16.473,0.354,1.951,0.664,0.342,2076.988,88.644,0.499,0.03,1.339,0.139,0.237,0.661,4.89,1.493,0.169,0.155,0.155,5879.394,255.112,21.133,374.324,20.715,266.211,40,144.295,0.003,0.248,0.593,1.745,0.01,51.789,0.282,56.514,1.476,0.096,8.601,0.448,0,5.2181,0.0014721,0.00099518,9.5352e-05,5890,0.56162328
"6",0.741,19.294,0.367,3.096,0.897,38.853,2371.541,96.43,0.55,0.139,1.523,0.147,0.105,0.456,4.56,1.497,0.157,0.16,0.16,5384.841,330.1,22.615,519.582,24.006,345.805,40,262.313,0.009,0.316,0.338,1.736,0.006,21.273,1.303,2.011,0.358,0.067,5.779,0.672,0.001,6.7147,0.0088438,0.0042845,0.0002442,5390,1.316238
"7",0.729,17.046,0.377,4.936,0.537,5.181,2640.673,95.65,0.356,0.258,1.367,0.123,0.175,0.701,1.908,1.549,0.89,0.15,0.15,2790.853,128.84,21.12,200.217,23.194,141.116,40,266.989,0.269,0.036,0.603,1.069,0.006,15.997,1.208,52.781,0.252,0.097,0.573,9.105,0,6.7092,0.052296,0.045463,0.021933,2800,61.4124
"8",0.773,19.503,0.264,0.647,0.999,2.169,4534.599,65.11,0.25,0.219,1.366,0.087,0.179,1.455,2.201,1.742,0.693,0.186,0.186,1561.491,56.196,21.769,384.484,24.543,384.311,40,303.93,0.54,0.633,0.656,1.653,0.022,33.871,0.364,77.729,0.486,0.023,11.051,9.466,0.001,1.7422,0.0090756,0.0045593,4.831e-05,1560,0.0753636
"9",0.739,19.202,0.394,0.938,0.735,12.302,2293.392,60.365,0.205,0.046,1.487,0.022,0.241,0.252,5.505,0.92,0.159,0.14,0.14,3637.875,137.956,23.809,602.758,20.833,115.702,40,105.533,0.682,0.685,0.725,1.659,0.018,14.728,0.446,64.059,0.565,0.006,9.967,4.107,0,1.2526,0.003082,0.001115,1.1135e-05,3640,0.0405314
"10",0.758,17.479,0.147,2.903,0.295,33.407,4659.754,76.869,0.983,0.46,1.605,0.026,0.254,1.504,0.811,0.641,0.689,0.077,0.077,4899.31,84.665,23.95,221.813,24.31,108.693,40,62.483,0.401,0.272,0.434,1.472,0.008,37.471,0.466,27.032,0.192,0.036,7.312,9.13,0.001,3.1839,0.0086613,0.0058761,0.00016972,4910,0.8333252
