"","var","pcc"
"1","PFAC",0.00841812564633488
"2","ANETD",0.00496601878766848
"3","uslek",0.132546803374571
"4","uslels",0.23235212420382
"5","uslep",0.185270080284816
"6","slp",0.033079136933094
"7","hl",-0.0383985402812403
"8","CN_c",0.196735972371507
"9","uslec_c",0.240631997481422
"10","MNGN",-0.0200808257238007
"11","bd1",-0.0149995367427112
"12","fc",-0.00216077932896071
"13","WP",-0.00483752233290808
"14","OC",0.00953291965987817
"15","dep",-0.330526841814627
"16","app_rate",0.205968587010911
"17","app_eff",0.271500542554817
"18","DWRATE",0.00494629442380565
"19","DSRATE",0.00494629442380565
"20","kd",-0.17593543558848
"21","aer_aq",0.00349352389410714
"22","temp_ref_aer",0.0214490022796521
"23","anae_aq",0.0101307939676165
"24","temp_ref_anae",-0.00797444639262944
"25","photo",0.00791800315989028
"26","RFLAT",-0.00399297769164475
"27","hydro",0.0128852148350715
"28","SOL",0.0161951693816806
"29","benthic_depth",-0.0240191060172753
"30","porosity",-0.0234092082147357
"31","bulk_density",0.00554639633566872
"32","FROC2",0.21474569528815
"33","DOC2",-0.0164915048312623
"34","BNMAS",0.0012318754124981
"35","SUSED",-0.0963947067290535
"36","CHL",-0.011617562889812
"37","FROC1",-0.0844361436484805
"38","DOC1",-0.0715276396873587
"39","PLMAS",-0.0961313440250332
"40","bf",0.0308257876223453
