"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"2349",0.0136871298841924,0.00810778611952436,0.0661129361852004,0.115957536784226,0.08812628750445,0.00570074233185321,-0.0141254257633187,0.312660764139297,0.125797683874014,-0.0197992603467109,-0.00340377829029164,0.0136908195879229,-0.0155824332736545,7.48920634412444e-05,-0.211400538241819,0.1321883542266,0.170878364113695,0.00884618628700331,0.00884618628700331,-0.119488060363282,0.0130877309445321,-0.015955369498313,0.145818476470631,0.0283688253096024,-0.0125115255528247,-0.00552859168170554,-0.00596501633194798,-0.0052753313523277,-0.25454185214614,-0.00707304214145793,-0.0696865938042582,0.0180552378493196,-0.0115385980379494,0.0156896037663058,-0.00237298154470062,0.00796331502930981,-0.00280465582594922,0.00918377232342619,-0.0144370238985102,-0.010255788700382
"2350",0.0136913290279358,0.00816649120835502,0.0660705157239942,0.115952107557029,0.0881378012970596,0.0057085405967327,-0.0140599179724261,0.312679239392354,0.125844290779885,-0.019755789665534,-0.00340789862586238,0.0136785994371386,-0.0156103089456034,7.98898046537628e-05,-0.211417026709004,0.132204191895167,0.170863263524994,0.00884583713191082,0.00884583713191082,-0.119392739353293,0.0130684824573301,-0.0159332975150729,0.146177626486363,0.0284768782451231,-0.0125150760720553,-0.00554179921420073,-0.00592552888679861,-0.00528175371559897,-0.254414093152232,-0.00704635008704069,-0.0697084505835114,0.0181070333307211,-0.0115377174763132,0.0157205326533156,-0.00237435848805384,0.00799761582127854,-0.0028106436724185,0.00917524806203905,-0.0144356440150156,-0.0102577794825041
"2351",0.0136952270536365,0.00822600859631332,0.066025864042292,0.115949082494294,0.0881511461503963,0.00571624518959654,-0.0139932645161854,0.312702770496658,0.125893229373988,-0.0197108471611274,-0.00341353421385328,0.0136666879271804,-0.0156384170265947,8.40066821250012e-05,-0.211435448982025,0.132221699165928,0.170849420766947,0.00884556755201348,0.00884556755201348,-0.119296265495878,0.0130495037450447,-0.0159095289257995,0.146545513988392,0.0285862005569975,-0.0125179803551938,-0.00555644734609689,-0.00588448128772043,-0.00528853215089873,-0.254284377808103,-0.00701816547543141,-0.0697316517033275,0.0181597907784435,-0.0115380940615023,0.0157528541476948,-0.00237472504136437,0.00803363412877135,-0.00281575859461124,0.00916599048172173,-0.0144330129295838,-0.0102607477543073
"2352",0.0136995762133532,0.00828635830321099,0.0659819755892597,0.115942957931059,0.0881628553647286,0.00572425020805537,-0.0139256781062571,0.312719618650602,0.125941374024929,-0.0196662560728474,-0.0034195157210218,0.0136538563927356,-0.0156668353962916,8.84589351415226e-05,-0.211450914017029,0.132236859113904,0.170832127185773,0.00884504121694685,0.00884504121694685,-0.11919693297758,0.0130294431015794,-0.0158863682551773,0.146920218742224,0.0286975438007735,-0.0125206954539816,-0.00557034502626833,-0.00584494807312239,-0.00529660311195311,-0.25415063239028,-0.00699003291269538,-0.0697536788475367,0.0182130274553135,-0.0115374424399862,0.0157849379338626,-0.00237642869373558,0.00806979422813393,-0.00282171005529421,0.00915654972391737,-0.0144317230769233,-0.0102641701877166
"2353",0.0137045866281991,0.00834819001111377,0.0659354877214029,0.115931682868935,0.0881706543266593,0.00573158621157356,-0.0138597275716994,0.312724195492099,0.125984371086014,-0.019620942477363,-0.00342561992920925,0.0136414179947906,-0.0156930993829532,9.369673650589e-05,-0.2114595738407,0.132246146256945,0.170809845332767,0.00884452604831708,0.00884452604831708,-0.11909561560881,0.0130089295887872,-0.0158630717823979,0.147298000223302,0.0288096085240752,-0.0125233110665328,-0.00558270898591553,-0.00580568045442428,-0.00530321231932713,-0.254018194629263,-0.00696310239112116,-0.0697712835598772,0.0182687559003927,-0.0115342885843923,0.0158183795941331,-0.00238140432606303,0.00810591392693345,-0.00282699036760071,0.00914749576416962,-0.0144310431679427,-0.0102668584645925
"2354",0.0137092239913688,0.00841028296306403,0.0658885749894655,0.115918248601819,0.0881769755628291,0.00573907196216261,-0.0137929419407785,0.312726266683224,0.126025962113542,-0.0195766302573635,-0.00343160318888317,0.0136297555280292,-0.0157199895581115,9.95274723962817e-05,-0.211465772850973,0.132254998616179,0.170784047091181,0.00884378871811356,0.00884378871811356,-0.118993395963957,0.0129883845250346,-0.0158391548550017,0.147679144331573,0.0289224307652939,-0.0125264701777941,-0.00559714479040477,-0.0057671549485319,-0.00530990552274587,-0.253879834468859,-0.00693515795563241,-0.0697888959210658,0.0183233378429645,-0.0115329069926362,0.0158531653018703,-0.00238442336155988,0.00814340341719888,-0.00283148040254972,0.00913934518710946,-0.0144290281256698,-0.0102703205746907
"2355",0.0137141006606699,0.00847160230789691,0.0658410272856105,0.115905940749589,0.0881831223621222,0.00574672768743045,-0.0137263528724411,0.312729103017974,0.126067984893633,-0.0195310420579527,-0.00343738240695997,0.0136184227381202,-0.0157465281556823,0.000104387631982102,-0.211472219733201,0.132263463260698,0.170759561722534,0.0088431939569105,0.0088431939569105,-0.118890716447178,0.0129681004776603,-0.0158160583241485,0.148059124758196,0.0290346058847949,-0.0125289375660077,-0.00561026298859357,-0.00572897977287139,-0.00531621224952003,-0.253741175557334,-0.00690676596744033,-0.0698080521080032,0.0183771626486666,-0.0115317788307829,0.0158870530911064,-0.00238662770205181,0.00818071486256279,-0.00283557534792945,0.00913099899866043,-0.0144261773763137,-0.010274276424415
"2356",0.0137173873687769,0.00853351907175055,0.0657936182079212,0.115897971525808,0.088193690942479,0.00575498461130698,-0.0136585523671153,0.312743276125878,0.126114220094238,-0.0194861816964489,-0.00344305733031766,0.0136062842263365,-0.0157744667773144,0.000109087992720069,-0.211484776421474,0.132277408567222,0.170738960232035,0.00884267589253085,0.00884267589253085,-0.118789933036721,0.012948342255902,-0.0157907911603411,0.148439328652512,0.0291480173091467,-0.0125315671626051,-0.00562402054395217,-0.00568942806444918,-0.00532305892056847,-0.253599034383385,-0.00687760198424545,-0.069829542283676,0.0184309252718974,-0.0115330851534687,0.0159198913598542,-0.00238601884118512,0.00821860684560437,-0.00284026783598717,0.00912195601452562,-0.0144229715195217,-0.0102778892872365
"2357",0.013720640009072,0.00859437660071404,0.0657472983164453,0.115896675949427,0.0882090472455841,0.00576460579386147,-0.0135887190075933,0.312769603274266,0.126166108732364,-0.0194412772776078,-0.00344792163892056,0.0135926349354296,-0.0158041116880762,0.000110833460273701,-0.211504821547633,0.132296824671783,0.170724183546209,0.00884224826860763,0.00884224826860763,-0.118689557528404,0.0129298130789199,-0.0157646648171156,0.148820076608421,0.0292628452514323,-0.012532293225017,-0.00563839796117107,-0.00564906944893109,-0.00533057237344998,-0.253455289736844,-0.00684872044786995,-0.0698536415625597,0.0184851896905264,-0.0115347710530689,0.0159521978660971,-0.00238367787610815,0.00825681627019333,-0.00284604265779825,0.00911230904843967,-0.0144208729000327,-0.0102806916457238
"2358",0.0137234781334542,0.00865508836525762,0.0657008150351321,0.115895873419613,0.0882242575277829,0.00577317787007683,-0.0135185952943963,0.312794597823609,0.126218233468376,-0.0193960494317852,-0.00345408677194091,0.0135792028987406,-0.0158325983450186,0.000112828658067944,-0.211524790499928,0.132316315575212,0.17070907586943,0.00884209624598401,0.00884209624598401,-0.118587774840366,0.012910674610742,-0.0157386948357769,0.149198325897687,0.0293767422936542,-0.0125325339646069,-0.00565259448609781,-0.00560821658941763,-0.00533766423914908,-0.253311089225929,-0.00681945235431757,-0.069876714462984,0.0185409378574058,-0.0115359324204153,0.0159835331123934,-0.00238197322624018,0.00829431355182942,-0.00285341353115212,0.00910187773557334,-0.0144200398168368,-0.0102836896993149
