"","var","pcc"
"1","PFAC",0.0101702702248855
"2","ANETD",-0.00628746350174281
"3","uslek",0.00197991966591869
"4","uslels",0.0141146391523314
"5","uslep",0.00327437353440225
"6","slp",-0.0264698896360166
"7","hl",-0.0075448534421284
"8","CN_c",0.0066412740811004
"9","uslec_c",0.0033648233724172
"10","MNGN",-0.00133311969992062
"11","bd1",0.0237380295726005
"12","fc",-0.0130043106890916
"13","WP",-0.000507009945928467
"14","OC",-0.00742091986329249
"15","app_rate",0.00872388698474499
"16","DWRATE",0.00254315151116482
"17","DSRATE",0.00254315151116482
"18","kd",0.10871152749625
"19","aer_aq",-0.00766897298860376
"20","temp_ref_aer",0.0073679499501557
"21","anae_aq",0.00301736052641567
"22","temp_ref_anae",0.00214987367428836
"23","photo",0.00705339634265063
"24","RFLAT",-0.00608424899490945
"25","hydro",0.0263290979878021
"26","SOL",-0.0226673221178504
"27","benthic_depth",0.0132968044524594
"28","porosity",-0.0147025999918829
"29","bulk_density",0.0174679532762283
"30","FROC2",-0.018175626525101
"31","DOC2",0.00997947847342499
"32","BNMAS",0.00929155748823152
"33","SUSED",0.00226801059660334
"34","CHL",-0.0119747602690969
"35","FROC1",-0.0102693339731236
"36","DOC1",-0.0142655575554027
"37","PLMAS",-0.00946862506490211
"38","bf",0.0133133088379537
