"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40"
"2133",0.0111815844723085,0.0148803149433538,0.0588530178307724,0.108400760118171,0.0826846137368202,0.00689920726789114,-0.00563241068153897,0.314850508244539,0.11956967872168,-0.0166195117714132,-0.00508242932009383,0.013831730168593,-0.0170352546674081,-0.00246171147821479,-0.200091963910974,0.126636386033512,0.159198354249111,0.00879102043512197,0.00879102043512197,-0.0957851088333475,0.0125245050377594,-0.0137330556578448,0.165142291828818,0.0339728856443422,-0.0125403082571654,-0.00711297434532792,-0.000410633005302938,-0.00629506173179315,-0.239238130279473,-0.00549258487070938,-0.0672856761990849,0.0229296241289411,-0.012534831131711,0.0173270253466885,-0.00231039981681217,0.0111886573007139,-0.00263677831649617,0.00621959019071863,-0.0138171152622348,-0.0117563295164818
"2134",0.0111262967466713,0.0148494419567434,0.0588057914035392,0.108392195756202,0.0826266925160395,0.00691957686895618,-0.00560226160096664,0.314978805806126,0.119545983346329,-0.0166222161603079,-0.00511285786059865,0.0138348575897413,-0.0170065692991477,-0.00253763690235365,-0.200067113779101,0.126623697901108,0.159170813729755,0.00879706526276753,0.00879706526276753,-0.0953233656484596,0.0125100234625299,-0.013718691934931,0.165227498758918,0.0340286150166246,-0.0125452989808441,-0.00710055362321479,-0.000396037812575638,-0.00632014509258815,-0.239121526407557,-0.00548376605021832,-0.0673109521923271,0.022579533123784,-0.0125208248879965,0.0173172943729485,-0.00211805469182439,0.0112217676559186,-0.00248332082722136,0.00629303306875863,-0.0136366151284567,-0.0117859184085623
"2135",0.0110500134264833,0.0147796031458612,0.0588198183431313,0.108522878079808,0.0825672130723408,0.00695765780927457,-0.00558104310934349,0.315226757234222,0.119640859013766,-0.0166831754700435,-0.00523199206549206,0.0138619973190227,-0.0169121239956455,-0.00274606223230947,-0.200219312335904,0.126671854183872,0.159272875188968,0.00880964440970984,0.00880964440970984,-0.0942256483445634,0.0125322123123033,-0.0136096289922531,0.165433561591098,0.034110086935939,-0.0125766068593216,-0.00700811077141811,-0.000303202392563178,-0.00634113480655919,-0.239265042887774,-0.00550016219737643,-0.067111511688971,0.0221566891875482,-0.0124285481466436,0.0173283193697537,-0.00194569100693072,0.0112212265494764,-0.0023706007249504,0.00624523455466905,-0.013518845945528,-0.0118026911300012
"2136",0.0111281308133487,0.0148730923745549,0.0588182378445029,0.1086063670704,0.0826912386390926,0.00695170057944255,-0.00556820756658254,0.315189283903242,0.119813057163475,-0.0166987961276765,-0.00520318356252281,0.0138005779346617,-0.0169085349969934,-0.00273938354659475,-0.200343095121529,0.126774340630978,0.159427866040129,0.00880834706167332,0.00880834706167332,-0.0944355738379105,0.012492239246533,-0.0135297651333646,0.165741330214011,0.0341745890564939,-0.0125023171167412,-0.00702584543948695,-0.000249282317799627,-0.0063138654397724,-0.239338795809505,-0.00549757852180442,-0.0669446354765834,0.0228263933489934,-0.0124003579922626,0.0173448427805744,-0.00224163804174281,0.011214569138894,-0.00262796661440351,0.00610505003582671,-0.0138442793216635,-0.0117529227916135
"2137",0.0111987318414938,0.0149746311046571,0.0587566714449472,0.10854800446746,0.0827853846052465,0.00693281244253117,-0.0055398710685272,0.315073063653397,0.119829326279277,-0.0166479636104773,-0.00510416658901727,0.0137409057021337,-0.0169738841806653,-0.00261570860696036,-0.200281391209118,0.126800394341042,0.159406509328755,0.00880184278090148,0.00880184278090148,-0.0951367296723212,0.0124215775124721,-0.0135574171378302,0.165890982555347,0.0342142221599093,-0.0124235615975321,-0.00711512140582884,-0.000279817329503978,-0.00629959160127626,-0.239126823302039,-0.00547532377442319,-0.067041481019254,0.023335263378047,-0.0124578654194001,0.0173397309953281,-0.00241140594126906,0.0112452615387755,-0.00276443274900374,0.0061206303114332,-0.0140106171845902,-0.0117258083409725
"2138",0.0113173821239025,0.0151182617547616,0.0587054276697545,0.108459487313735,0.0829331640990084,0.00689593576166974,-0.00550588285669502,0.314802625096075,0.119828368909281,-0.0165528490660279,-0.00495676655253332,0.0136759681020378,-0.0170978448716996,-0.00238724352858754,-0.200189256197317,0.126821587443289,0.159324982837246,0.00878808436987071,0.00878808436987071,-0.0964083895333386,0.0123492532883412,-0.013617680543965,0.166036994084794,0.0342403103192636,-0.0123318551823514,-0.00724361589763462,-0.000340950130846141,-0.00626546571853212,-0.238847427637338,-0.00545075135094079,-0.0672237735254549,0.0240962455496376,-0.0125607269763066,0.0173455995092089,-0.00269685109668979,0.0112761316749684,-0.00300590373722295,0.00612108936040214,-0.0142908709504169,-0.0116776548353548
"2139",0.0113412537361962,0.0151736792973421,0.0586258975004635,0.108301796113345,0.082955351121011,0.00687597601998892,-0.00545900267604103,0.314633206971379,0.119682114740833,-0.0164399171746177,-0.00484760156596806,0.0136599637831464,-0.0172110977334328,-0.00220572252319221,-0.199982924064722,0.126753352968775,0.159097342129738,0.00877873140986058,0.00877873140986058,-0.097258760695236,0.0122978055411928,-0.0137328587776013,0.166011091340823,0.0342549031110579,-0.0123029426830544,-0.0073492352862632,-0.000433521504071144,-0.0062686366090041,-0.238422169818425,-0.00541767252993221,-0.0675617691883914,0.0241276681042295,-0.012678876795472,0.0173366294110861,-0.00263690759772077,0.0113382689063697,-0.00296074265388348,0.0062719949134148,-0.0142079383580118,-0.0116877706598072
"2140",0.0112902483103246,0.0151357640273163,0.0586063343738365,0.108264280553575,0.0829047353438631,0.00688801355278507,-0.0054191781487539,0.314657028562295,0.119598424519181,-0.0163895506253553,-0.00486296982602709,0.0136964133423931,-0.017238863454358,-0.00220490887006218,-0.19992045519248,0.12670518944845,0.158949603812234,0.00877967715546963,0.00877967715546963,-0.0971523591794589,0.0123083106428516,-0.0137662835550784,0.166034265607172,0.0342933292919076,-0.0123412303467661,-0.00734675886978717,-0.000452356006817956,-0.00628919038899022,-0.238231066737784,-0.0054090749578691,-0.0677253505949612,0.0236852353618038,-0.0127109324922162,0.0173427021037556,-0.00241710825097399,0.0113794594903205,-0.00280703042126294,0.00636475338109633,-0.0139981873347562,-0.0117185513739963
"2141",0.0112164342006791,0.0150707524127158,0.058610711135546,0.108306478862067,0.0828363041030981,0.00691710467374035,-0.00539025207792153,0.314791958205344,0.119593268546764,-0.016392626133214,-0.00493828469220897,0.0137356669605252,-0.0172019116744254,-0.00231364231849536,-0.19995415706327,0.126688026185797,0.158912935609933,0.00878703496390061,0.00878703496390061,-0.0965340338447014,0.0123443828659403,-0.0137334830100038,0.166122962973504,0.0343478033523635,-0.0123914873127909,-0.00728652383895523,-0.000414786396146679,-0.00631511180067082,-0.238206818952748,-0.00540814207009656,-0.0677339075107292,0.0231654228045392,-0.012677186470159,0.0173510159686519,-0.00218941394113916,0.0114026684081874,-0.00264827387367809,0.00639614711511617,-0.0137925979432905,-0.0117531711554379
"2142",0.0112092955058974,0.0150726170893284,0.058626159916003,0.108383633298777,0.0828517929144532,0.00693364917504895,-0.00537423244923152,0.314846753057836,0.119683725044793,-0.0164120882230797,-0.00497920781061649,0.013733486694336,-0.0171692934017972,-0.00238500823408896,-0.200047766282568,0.126726680260425,0.15898132482205,0.00879071835851991,0.00879071835851991,-0.096234576983397,0.0123656965415906,-0.0136649422860749,0.166319937360607,0.034402692293634,-0.0123944215357663,-0.00724700745676377,-0.000357411306820592,-0.00631549248161249,-0.238269171484811,-0.00540894799620954,-0.0676337636234574,0.0231756351557191,-0.0126337872586833,0.0173655870812855,-0.00221070819170225,0.011406298950296,-0.00269052463900985,0.00632704380612017,-0.0138393728182347,-0.0117502644175027
