"month","year","bif_kg"
1,2009,5.08103098988
2,2009,4.2064276414152
3,2009,4.4190374155376
4,2009,0
5,2009,8.1852025382608
6,2009,8.2424641737776
7,2009,8.7855212083632
8,2009,8.690189505568
9,2009,7.45793856290016
10,2009,7.92774927102688
11,2009,6.58051057911744
12,2009,6.3130166628744
1,2010,2.7981535736984
2,2010,6.9624801664496
3,2010,4.5205612841616
4,2010,5.304383999804
5,2010,6.8155883888592
6,2010,6.1995603309432
7,2010,7.443740235188
8,2010,8.0870555259992
9,2010,10.341297951376
10,2010,8.8602906332552
11,2010,8.8642609240312
12,2010,0
1,2011,8.7184538663496
2,2011,10.0809487985928
3,2011,16.0236487524053
4,2011,15.6458998204894
5,2011,22.6607552482048
6,2011,20.1808160576808
7,2011,9.8823499823992
8,2011,23.7800788061804
9,2011,19.5088026814176
10,2011,16.5773672446908
11,2011,84.178119434298
12,2011,11.5384969281432
1,2012,9.5701307020092
2,2012,8.8666963955568
3,2012,7.5822393587596
4,2012,12.0227373684768
5,2012,15.0168723737716
6,2012,19.9889380007532
7,2012,19.6766148205797
8,2012,18.7684483902028
9,2012,23.9856611021264
10,2012,10.5222163002559
11,2012,6.7659256213612
12,2012,2.90512928250432
1,2013,3.9649133521216
2,2013,4.4202177753196
3,2013,17.3143633221744
4,2013,16.0195169647336
5,2013,35.602363732076
6,2013,9.43917325304112
7,2013,22.4893200883019
8,2013,14.1305631538832
9,2013,6.957633626648
10,2013,17.9060558971352
11,2013,15.7584126266296
12,2013,17.0436698677536
1,2014,17.32671261385
2,2014,12.9258555058664
3,2014,14.90906215094
4,2014,19.2702981564808
5,2014,16.1514269614376
6,2014,27.0676744998704
7,2014,21.4774288928782
8,2014,17.2840240592198
9,2014,11.0590166092634
10,2014,23.8650576389851
11,2014,7.139984414528
12,2014,19.2829899645474
