"","var","pcc"
"1","PFAC",0.00905407807432436
"2","ANETD",0.0176663991374016
"3","uslek",0.0433518843176547
"4","uslels",0.0779946608352605
"5","uslep",0.0744943284247664
"6","slp",-0.00386758453274673
"7","hl",-0.00141769002623472
"8","CN_c",0.253302291657267
"9","uslec_c",0.109586226855381
"10","MNGN",0.00770743620862094
"11","bd1",-0.00578958247273105
"12","fc",0.0690060406158096
"13","WP",-0.0182848491461106
"14","OC",0.00339871155021106
"15","app_rate",0.0609128884100309
"16","DWRATE",-0.00267244539600695
"17","DSRATE",-0.00267244539600695
"18","kd",-0.104322825741313
"19","aer_aq",0.00336604247202108
"20","temp_ref_aer",0.0124076207750149
"21","anae_aq",0.0310664560050081
"22","temp_ref_anae",0.0209538551986268
"23","photo",0.00928636254108335
"24","RFLAT",-5.02299907868449e-05
"25","hydro",0.0257903640195367
"26","SOL",0.00445349875706122
"27","benthic_depth",-0.143403495501892
"28","porosity",-0.00924504091958417
"29","bulk_density",-0.0262322870530976
"30","FROC2",0.0331315259383539
"31","DOC2",0.0132874347069851
"32","BNMAS",-0.0100893165245705
"33","SUSED",-0.00166097832574872
"34","CHL",0.0152257038932357
"35","FROC1",0.00751830110801976
"36","DOC1",-0.0164154437599362
"37","PLMAS",0.0133706528068528
"38","bf",0.0079065363380201
