"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","uslec_c","MNGN","bd1","fc","WP","OC","app_rate","DWRATE","DSRATE","kd","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf","przm_max_h2","pwc_max_peak","pwc_max_h2","pwc_max_benthic","Conv.Factor","max_sed","przm_max_pest"
"970",0.745,15.058,0.433,2.06,0.432,30.662,4823.847,87.563,0.646,0.084,1.424,0.146,0.12,0.982,1.651,0.106,0.106,963.836,18.697,24.826,634.768,21.941,170.878,40,185.305,0.379,0.48,0.561,1.617,0.008,4.198,0.697,73.553,1.033,0.075,2.769,4.697,0,4.1396,0.016207,0.013209,0.000824,964,0.794336,3.7628e-12
"971",0.744,16.162,0.386,1.794,0.738,36.883,4941.418,82.193,0.247,0.405,1.411,0.039,0.193,0.942,0.952,0.154,0.154,5188.021,349.251,20.202,392.041,21.371,264.132,40,172.773,0.476,0.774,0.641,1.751,0.003,0.231,4.041,59.125,0.611,0.115,7.108,3.643,0,1.7899,0.00051711,0.00046108,2.4718e-05,5190,0.12828642,3.5719e-13
"972",0.764,19.529,0.318,4.996,0.866,13.915,3424.619,86.528,0.408,0.275,1.553,0.064,0.238,1.022,1.272,0.04,0.04,1314.48,301.824,24.052,469.461,20.023,191.46,40,207.503,0.004,0.506,0.78,1.223,0.027,2.673,1.046,53.965,0.381,0.026,14.047,2.791,0.001,2.7571,0.054147,0.032687,0.00067693,1320,0.8935476,3.9834e-12
"973",0.742,15.706,0.175,4.317,0.361,25.162,4649.628,51.937,0.541,0.168,1.608,0.149,0.249,0.825,0.782,0.173,0.173,4897.718,77.171,24.929,256.51,24.903,239.611,40,234.74,0.203,0.808,0.311,1.004,0.026,33.272,4.719,16.098,0.324,0.123,3.457,4.853,0,0.078097,0.0082852,0.0033627,3.9185e-05,4900,0.1920065,2.322e-15
"974",0.725,15.662,0.394,3.451,0.349,23.43,4692.843,70.575,0.769,0.381,1.483,0.142,0.179,1.636,1.669,0.095,0.095,3039.779,164.522,22.616,41.463,24,284.8,40,58.943,0.048,0.199,0.468,1.02,0.018,16.55,0.304,32.767,1.228,0.123,0.608,0.168,0,1.4969,0.0089516,0.0045958,8.26e-05,3040,0.251104,7.7428e-13
"975",0.748,18.514,0.154,2.057,0.35,8.282,3665.505,89.885,0.081,0.176,1.494,0.07,0.225,1.402,1.85,0.176,0.176,2442.079,37.871,23.962,91.313,20.508,170.75,40,120.986,0.07,0.423,0.314,1.119,0.014,54.682,3.485,54.962,0.889,0.087,4.163,9.942,0.001,3.5377,0.0034271,0.0026648,5.6443e-05,2450,0.13828535,1.619e-12
"976",0.741,15.992,0.279,3.572,0.717,46.39,4906.923,95.94,0.08,0.398,1.372,0.024,0.296,0.011,0.767,0.081,0.081,1439.612,110.563,24.526,365.237,22.63,333.069,40,298.862,0.04,0.208,0.714,1.159,0.003,37.88,1.727,36.742,0.973,0.002,8.745,9.345,0.001,4.7363,0.0030164,0.0027233,0.00067719,1450,0.9819255,2.7682e-12
"977",0.78,17.393,0.135,2.21,0.823,23.193,2587.74,58.38,0.89,0.142,1.344,0.107,0.111,0.172,1.704,0.126,0.126,1379.894,20.167,24.631,307.494,21.693,371.713,40,103.197,0.254,0.27,0.759,1.19,0.014,7.126,0.076,63.987,0.917,0.071,4.903,1.536,0,0.57167,0.011083,0.0069075,0.00029562,1380,0.4079556,9.4407e-14
"978",0.76,15.94,0.445,2.332,0.594,13.591,3847.987,88.928,0.143,0.169,1.453,0.029,0.247,1.779,1.959,0.136,0.136,1416.901,298.549,20.471,479.293,20.663,316.502,40,329.702,0.249,0.504,0.622,1.491,0.028,31.087,3.345,13.701,1.065,0.123,3.654,6.803,0,2.729,0.011545,0.0063283,0.00019455,1420,0.276261,1.6193e-12
"979",0.733,19.527,0.173,4.94,0.469,29.026,3517.586,83.048,0.671,0.32,1.571,0.131,0.141,1.569,1.584,0.097,0.097,4957.198,154.91,20.145,112.204,20.845,118.444,40,34.108,0.506,0.8,0.779,1.169,0.013,39.874,4.915,25.235,0.343,0.137,8.398,6.167,0,3.314,0.0045538,0.0032086,3.7921e-05,4970,0.18846737,2.376e-12
"980",0.745,15.287,0.313,4.838,0.2,6.967,3578.195,92.411,0.604,0.228,1.391,0.152,0.168,0.082,0.814,0.192,0.192,5018.613,65.194,22.138,537.519,21.872,139.991,40,241.59,0.269,0.495,0.61,1.449,0.028,28.915,3.848,6.132,0.28,0.002,12.521,7.347,0.001,5.0301,0.004719,0.0022028,9.2054e-05,5020,0.46211108,1.1199e-12
"981",0.738,16.778,0.466,1.047,0.834,7.141,3221.663,67.36,0.325,0.23,1.547,0.014,0.216,0.669,1.713,0.172,0.172,5013.847,81.077,20.99,698.394,24.482,255.867,40,160.458,0.299,0.164,0.554,1.163,0.005,33.802,0.713,48.7,0.803,0.077,0.252,0.375,0,0.15325,0.0021785,0.0016529,0.00021648,5030,1.0888944,1.1119e-14
"982",0.721,18.63,0.384,4.012,0.697,47.679,4222.75,76.974,0.827,0.35,1.427,0.117,0.184,1.451,1.53,0.051,0.051,4432.808,201.469,24.517,393.383,24.139,265.179,40,70.356,0.248,0.589,0.577,1.481,0.02,28,0.91,1.679,0.156,0.016,9.359,6.562,0,1.9936,0.025532,0.0094725,0.00011315,4440,0.502386,2.3881e-12
"983",0.742,18.631,0.122,4.753,0.803,33.679,2033.86,96.39,0.107,0.301,1.347,0.123,0.225,0.558,1.181,0.023,0.023,2236.597,324.965,23.188,344.249,21.364,202.062,40,59.566,0.48,0.086,0.599,1.106,0.002,42.166,3.549,57.951,1.034,0.052,4.216,3.23,0.001,5.6459,0.013848,0.012544,0.0043827,2270,9.948729,2.2029e-11
