"","PFAC","ANETD","uslek","uslels","uslep","slp","hl","CN_c","uslec_c","MNGN","bd1","fc","WP","OC","app_rate","DWRATE","DSRATE","kd","aer_aq","temp_ref_aer","anae_aq","temp_ref_anae","photo","RFLAT","hydro","SOL","benthic_depth","porosity","bulk_density","FROC2","DOC2","BNMAS","SUSED","CHL","FROC1","DOC1","PLMAS","bf","przm_max_h2","pwc_max_peak","pwc_max_h2","pwc_max_benthic","Conv.Factor","max_sed","przm_max_pest"
"1",0.775,18.65,0.342,1.114,0.249,4.301,3325.865,85.872,0.804,0.29,1.35,0.131,0.133,1.614,1.306,0.072,0.072,882.07,276.845,24.166,312.008,22.557,343.455,40,193.699,0.003,0.114,0.792,1.64,0.022,32.006,1.03,50.113,1.429,0.025,10.494,9.802,0.001,3.923,0.010559,0.0080524,0.0014148,883,1.2492684,4.1804e-12
"2",0.751,16.923,0.333,1.898,0.153,41.071,4166.72,62.127,0.524,0.386,1.633,0.022,0.198,0.456,1.61,0.135,0.135,3017.987,317.336,20.467,650.678,21.84,366.572,40,64.627,0.506,0.992,0.341,1.596,0.018,48.743,0.319,57.793,0.893,0.013,12.329,7.298,0.001,0.054879,0.0070794,0.0032393,4.2918e-05,3020,0.12961236,4.4152e-15
"3",0.756,19.814,0.25,2.689,0.771,36.832,2731.29,51.55,0.523,0.073,1.3,0.104,0.126,0.936,1.343,0.161,0.161,2827.909,37.78,22.917,180.551,21.246,277.187,40,21.484,0.613,0.688,0.458,1.616,0.009,55.266,0.794,63.401,0.273,0.05,14.777,0.208,0.001,0.16711,0.0038362,0.0024646,3.2723e-05,2830,0.09260609,1.2619e-14
"4",0.768,18.106,0.102,4.106,0.446,11.611,4067.489,51.104,0.675,0.212,1.386,0.059,0.133,0.354,0.614,0.112,0.112,1553.187,275.627,20.406,269.338,22.098,302.911,40,302.949,0.705,0.554,0.443,1.339,0.007,24.497,3.927,15.425,0.115,0.053,10.56,2.975,0.001,0.013657,0.0078034,0.005154,0.00011809,1560,0.1842204,6.1043e-16
"5",0.766,15.748,0.336,0.944,0.698,30.827,3057.037,90.789,0.626,0.214,1.49,0.073,0.185,1.106,1.064,0.174,0.174,883.649,299.243,22.869,307.386,22.853,248.309,40,135.075,0.484,0.763,0.396,1.574,0.009,22.519,1.726,35.692,1.478,0.031,3.05,6.878,0.001,3.9979,0.0067819,0.0052651,0.0001964,884,0.1736176,1.1148e-12
"6",0.734,18.709,0.45,4.681,0.529,15.502,3219.345,93.812,0.194,0.396,1.421,0.127,0.241,0.397,1.512,0.079,0.079,3162.973,325.124,23.853,619.895,20.887,373.09,40,242.281,0.024,0.103,0.721,1.164,0.019,47.836,1.129,16.805,0.486,0.038,10.212,3.225,0.001,4.9954,0.025148,0.016067,0.0022892,3170,7.256764,5.6925e-12
"7",0.77,17.049,0.123,2.747,0.351,28.96,3784.207,88.58,0.788,0.055,1.416,0.079,0.119,1.53,1.737,0.197,0.197,1750.312,34.157,23.999,133.7,24.512,98.549,40,178.534,0.221,0.377,0.766,1.228,0.02,6.356,3.284,14.711,0.641,0.064,11.687,3.947,0,3.993,0.0067631,0.0046447,0.000176,1750,0.308,1.6417e-12
"8",0.771,19.811,0.237,4.487,0.587,10.378,3002.632,75.367,0.358,0.337,1.46,0.066,0.216,0.989,1.91,0.086,0.086,2555.19,124.558,23.674,267.602,22.981,183.982,40,356.143,0.329,0.625,0.765,1.679,0.008,23.979,4.593,16.88,0.616,0.001,6.859,6.659,0.001,1.1613,0.0059525,0.0032367,5.9155e-05,2560,0.1514368,6.3383e-13
"9",0.774,15.959,0.488,4.918,0.372,33.452,2480.073,86.688,0.496,0.325,1.555,0.128,0.233,0.648,1.475,0.096,0.096,1941.461,166.703,23.262,431.932,22.602,155.175,40,213.143,0.273,0.034,0.292,1.669,0.01,36.01,2.731,63.888,0.489,0.116,14.259,4.916,0.001,3.4044,0.0095447,0.0080645,0.0030227,1950,5.894265,2.3324e-12
"10",0.778,15.213,0.39,0.555,0.18,43.451,3549.005,71.894,0.046,0.254,1.51,0.087,0.227,0.328,0.904,0.101,0.101,4206.36,112.807,22.331,8.802,20.422,116.114,40,142.514,0.265,0.847,0.211,1.114,0.006,19.729,4.492,33.141,1.14,0.048,6.425,5.889,0.001,0.99662,0.0022938,0.0017334,3.7326e-06,4210,0.015714246,1.7796e-13
"11",0.771,18.717,0.412,3.151,0.506,33.95,2847.797,94.54,0.069,0.305,1.354,0.136,0.292,1.476,0.813,0.195,0.195,2547.181,246.166,22.398,649.678,23.743,295.083,40,90.964,0.401,0.24,0.633,1.61,0.002,3.775,1.866,16.009,0.701,0.04,13.201,6.32,0.001,5.1934,0.0012734,0.0011525,0.000259,2550,0.66045,1.2076e-12
"12",0.73,17.159,0.173,0.789,0.336,46.957,4084.859,59.868,0.215,0.428,1.464,0.052,0.151,1.999,1.127,0.026,0.026,3666.427,253.249,24.635,601.222,22.928,276.555,40,88.037,0.621,0.286,0.631,1.671,0.017,25.717,0.602,54.727,1.026,0.05,8.701,1.288,0.001,0.18668,0.0067238,0.0027757,0.00011395,3670,0.4181965,9.9844e-14
"13",0.778,17.482,0.117,1.685,0.61,42.967,4433.738,68.57,0.051,0.177,1.443,0.086,0.256,1.794,1.564,0.102,0.102,4040.883,79.527,20.342,15.186,21.612,263.606,40,151.196,0.294,0.994,0.16,1.144,0.024,47.149,3.434,37.734,0.032,0.066,1.815,5.812,0,0.68812,0.0081932,0.0034651,5.4577e-06,4040,0.022049108,1.3571e-13
"14",0.772,18.651,0.224,3.658,0.384,29.768,3546.94,69.369,0.607,0.039,1.47,0.101,0.103,0.956,0.539,0.158,0.158,2306.806,254.051,24.934,257.985,24.149,235.664,40,154.617,0.174,0.299,0.753,1.118,0.002,56.814,3.021,17.421,0.537,0.035,4.514,4.416,0.001,1.5122,0.0024251,0.0020793,0.00017862,2350,0.419757,1.4399e-13
"15",0.742,15.107,0.317,2.608,0.811,1.653,2391.58,72.914,0.386,0.174,1.561,0.125,0.146,1.977,1.634,0.06,0.06,4364.726,176.85,24.963,278.686,20.727,160.924,40,307.715,0.404,0.083,0.158,1.53,0.005,26.814,2.506,63.538,1.5,0.047,7.891,8.043,0,1.7698,0.0014939,0.0012518,0.0003222,4370,1.408014,1.6211e-12
"16",0.751,15.25,0.441,4.083,0.468,40.386,2524.096,62.171,0.49,0.452,1.631,0.116,0.147,1.54,1.202,0.088,0.088,4194.17,300.628,21.8,235.753,24.957,204.669,40,342.374,0.205,0.541,0.518,1.257,0.024,30.033,1.026,8.79,0.992,0.086,10.957,9.043,0,0.68802,0.0064768,0.0029771,5.2433e-05,4200,0.2202186,1.0916e-13
"17",0.72,16.23,0.189,2.266,0.907,13.314,2442.822,52.411,0.698,0.132,1.55,0.094,0.212,1.31,1.92,0.141,0.141,967.071,9.635,24.327,580.042,22.702,352.421,40,121.811,0.268,0.055,0.451,1.164,0.002,30.252,1.492,41.878,0.897,0.122,9.479,0.395,0,0.025302,0.002575,0.0023543,0.00067504,977,0.65951408,2.4273e-15
"18",0.78,16.721,0.104,3.563,0.102,16.93,3524.941,68.911,0.866,0.141,1.41,0.078,0.158,1.145,1.149,0.18,0.18,1003.805,346.862,23.232,246.129,21.611,333.226,40,343.961,0.432,0.284,0.327,1.036,0.028,19.56,1.137,19.288,1.135,0.114,5.943,8.867,0,0.91603,0.023371,0.011575,0.00038738,1000,0.38738,1.0193e-13
"19",0.742,19.758,0.358,1.402,0.137,49.945,3774.399,89.464,0.339,0.442,1.337,0.034,0.167,0.576,0.741,0.143,0.143,4006.022,114.083,20.203,64.592,21.169,153.55,40,9.24,0.104,0.121,0.777,1.266,0.004,39.352,2.894,72.847,0.702,0.092,8.465,5.918,0.001,2.9734,0.00079356,0.00071698,7.9459e-05,4040,0.32101436,7.1312e-13
"20",0.763,16.861,0.408,0.809,0.885,12.897,4748.097,97.228,0.17,0.451,1.483,0.065,0.207,0.849,1.431,0.192,0.192,3509.261,129.083,21.954,141.893,22.697,215.833,40,235.519,0.3,0.44,0.311,1.452,0.008,1.908,3.573,0.01,0.522,0.029,6.257,1.753,0.001,5.601,0.0050402,0.0027556,7.317e-05,3510,0.2568267,2.2121e-12
"21",0.744,19.279,0.276,4.334,0.639,38.671,3239.999,67.541,0.726,0.028,1.513,0.036,0.22,0.038,1.345,0.076,0.076,2509.67,198.182,24.362,233.246,22.083,155.807,40,111.393,0.243,0.085,0.248,1.328,0.029,15.655,1.732,65.278,0.65,0.083,9.81,6.701,0.001,0.33532,0.0083313,0.0045237,0.00043247,2510,1.0854997,6.3099e-14
"22",0.75,19.526,0.471,2.261,0.772,34.757,4238.63,94.777,0.956,0.084,1.335,0.136,0.26,0.906,0.613,0.024,0.024,2942.347,304.816,21.086,282.551,24.604,381.451,40,172.025,0.333,0.587,0.282,1.726,0.014,18.044,3.197,8.051,1.182,0.13,3.743,9.738,0.001,5.2826,0.074644,0.04511,0.0011481,2940,3.375414,8.6046e-12
"23",0.742,15.153,0.487,1.622,0.957,36.439,2584.349,64.477,0.056,0.315,1.599,0.108,0.118,0.339,1.367,0.186,0.186,2912.591,219.569,22.178,548.564,22.134,273.392,40,115.867,0.114,0.59,0.522,1.064,0.025,6.843,0.609,6.644,0.489,0.119,7.925,4.528,0,0.9564,0.013079,0.0052432,0.00010401,2910,0.3026691,1.1255e-13
"24",0.725,18.835,0.392,2.886,0.433,4.05,3654.351,63.34,0.917,0.429,1.49,0.092,0.109,1.65,1.055,0.189,0.189,4837.876,105.923,24.859,486,20.48,236.225,40,170.815,0.632,0.825,0.464,1.669,0.012,55.089,1.35,31.347,1.159,0.069,14.837,9.039,0.001,0.81864,0.002337,0.0014786,2.7144e-05,4840,0.13137696,6.4797e-14
"25",0.767,19.525,0.339,0.515,0.691,28.371,2576.035,91.979,0.652,0.469,1.378,0.06,0.257,0.314,1.621,0.047,0.047,2903.109,130.811,20.672,628.394,22.888,213.515,40,246.269,0.335,0.152,0.357,1.019,0.002,7.986,3.75,61.473,1.447,0.043,14.434,4.121,0.001,3.7727,0.0030376,0.002908,0.00097949,2920,2.8601108,7.7173e-12
"26",0.761,18.977,0.288,2.531,0.287,45.214,3046.987,70.444,0.9,0.084,1.366,0.131,0.286,1.717,1.498,0.067,0.067,4563.381,276.745,22.768,629.455,21.878,382.698,40,194.213,0.233,0.462,0.546,1.033,0.016,1.472,2.669,35.508,1.38,0.082,11.315,6.863,0.001,0.94625,0.0035363,0.00237,9.6765e-05,4560,0.4412484,4.6642e-13
"27",0.758,18.83,0.368,3.949,0.915,34.517,4615.192,80.222,0.939,0.131,1.488,0.127,0.165,0.01,0.702,0.052,0.052,5386.517,230.574,20.48,246.629,24.681,245.28,40,233.713,0.742,0.083,0.278,1.538,0.005,24.299,2.57,45.172,0.87,0.137,6.803,4.268,0.001,2.6341,0.0031882,0.0027401,0.00056897,5400,3.072438,1.5628e-12
"28",0.761,16.877,0.174,2.415,0.854,23.691,2616.538,79.024,0.998,0.128,1.434,0.003,0.226,1.807,1.041,0.051,0.051,3128.267,109.85,21.647,471.711,21.866,124.491,40,265.033,0.465,0.83,0.564,0.943,0.017,16.934,1.537,13.414,0.463,0.092,9.671,1.854,0.001,0.91473,0.0092403,0.0048103,7.8125e-05,3130,0.24453125,3.934e-13
"29",0.753,15.891,0.256,2.019,0.157,15.234,2093.236,93.009,0.82,0.447,1.374,0.077,0.22,0.705,0.639,0.1,0.1,4318.857,134.23,20.088,577.115,22.51,234.091,40,124.678,0.351,0.811,0.477,1.221,0.006,51.67,1.613,59.853,0.837,0.046,2.163,2.237,0.001,4.3541,0.0023038,0.0017047,6.4237e-05,4330,0.27814621,1.5995e-12
"30",0.777,15.583,0.376,1.076,0.324,14.96,3231.086,96.452,0.687,0.389,1.369,0.003,0.294,1.021,0.901,0.138,0.138,4940.357,31.817,21.828,181.94,22.197,362.352,40,112.791,0.447,0.794,0.215,1.373,0.019,28.012,2.102,0.424,0.818,0.051,6.856,7.031,0.001,4.5489,0.0044914,0.0022092,3.2328e-05,4940,0.15970032,1.6441e-12
"31",0.734,15.182,0.367,1.854,0.887,32.618,2978.255,75.833,0.252,0.434,1.528,0.071,0.192,1.895,1.656,0.183,0.183,2709.708,93.847,23.69,526.738,21.077,155.898,40,200.741,0.358,0.098,0.771,1.579,0.006,38.263,3.596,39.459,1.363,0.05,2.703,0.63,0,1.3986,0.0059965,0.0034494,0.00040037,2720,1.0890064,3.0342e-13
"32",0.771,17.458,0.482,3.005,0.346,34.144,2635.906,81.289,0.082,0.198,1.486,0.037,0.273,0.715,1.028,0.089,0.089,3565.212,110.322,23.871,590.196,22.624,295.81,40,239.941,0.076,0.857,0.66,1.462,0.013,56.147,0.742,61.414,0.482,0.006,10.554,5.03,0,1.4293,0.0058927,0.0028916,4.6084e-05,3570,0.16451988,4.7252e-13
"33",0.743,16.602,0.182,3.375,0.404,19.641,2191.793,58.597,0.161,0.206,1.637,0.028,0.266,1.809,1.361,0.172,0.172,2358.014,159.2,23.439,699.555,23.067,157.113,40,12.09,0.353,0.917,0.427,1.666,0.008,49.472,0.685,60.245,0.546,0.009,2.11,5.167,0.001,0.0066618,0.0084677,0.0039093,5.7335e-05,2360,0.1353106,3.4082e-16
"34",0.736,16.151,0.287,2.537,0.234,20.409,3260.651,73.895,0.99,0.216,1.489,0.061,0.2,1.593,1.004,0.151,0.151,3568.949,201.205,24.781,201.027,23.931,232.464,40,115.753,0.35,0.249,0.654,1.584,0.019,9.222,2.861,46.219,0.418,0.051,14.202,8.534,0,1.0351,0.004719,0.0025541,9.1793e-05,3570,0.32770101,1.3469e-13
"35",0.769,15.551,0.27,2.728,0.826,9.608,3433.472,93.946,0.344,0.283,1.576,0.089,0.152,1.917,1.565,0.19,0.19,1478.275,200.429,23.714,600.981,23.732,245.486,40,259.005,0.622,0.969,0.474,1.514,0.006,33.383,1.031,38.161,0.306,0.061,9.528,7.044,0.001,5.1014,0.0055664,0.0045965,0.00023424,1480,0.3466752,1.9572e-12
"36",0.78,18.472,0.354,4.335,0.445,26.872,2032.018,56.867,0.96,0.105,1.528,0.081,0.216,1.333,0.863,0.114,0.114,2569.346,12.531,24.308,15.009,21.856,191.807,40,281.983,0.567,0.715,0.518,1.381,0.009,24.042,2.212,45.419,0.315,0.058,3.81,2.886,0,0.10079,0.0057711,0.0034018,9.2529e-06,2570,0.023779953,5.6264e-15
"37",0.753,17.724,0.4,0.124,0.938,43.358,2473.297,64.912,0.358,0.025,1.56,0.151,0.104,0.387,0.882,0.019,0.019,5789.089,13.403,20.867,653.643,20.784,139.137,40,111.304,0.66,0.877,0.508,1.344,0.025,19.4,2.527,71.338,0.359,0.133,9.803,3.946,0.001,1.1734,0.0025838,0.0015629,2.9691e-05,5790,0.17191089,2.1457e-12
"38",0.744,18.633,0.266,4.402,0.598,24.649,2304.88,57.965,0.254,0.145,1.397,0.072,0.129,0.454,0.772,0.066,0.066,5254.422,282.789,24.676,404.171,22.131,229.407,40,51.374,0.069,0.047,0.381,1.113,0.024,51.226,1.24,5.82,0.604,0.024,7.858,4.83,0,0.26945,0.0092866,0.0034015,0.00052213,5260,2.7464038,3.5237e-14
"39",0.725,16.171,0.456,1.772,0.697,17.36,4185.272,59.239,0.524,0.31,1.381,0.018,0.172,0.175,1.256,0.153,0.153,3402.798,259.33,24.569,557.909,23.542,227.457,40,100.073,0.431,0.881,0.201,0.874,0.006,26.626,3.269,8.77,0.25,0.11,6.796,4.349,0.001,0.0072404,0.0035841,0.0027331,7.6321e-05,3410,0.26025461,4.6451e-16
"40",0.731,17.903,0.293,0.08,0.605,22.765,3301.403,94.26,0.858,0.166,1.424,0.065,0.239,0.934,1.499,0.142,0.142,1408.972,274.55,24.755,23.561,22.022,188.868,40,217.849,0.234,0.404,0.133,1.301,0.004,33.191,0.81,69.304,0.385,0.055,2.891,3.683,0.001,4.4857,0.0029266,0.002521,4.7543e-05,1410,0.06703563,2.5328e-12
"41",0.777,15.073,0.468,0.034,0.183,22.18,3108.107,71.725,0.666,0.162,1.462,0.015,0.158,0.349,0.511,0.147,0.147,2878.48,6.345,23.268,422.246,23.058,190.133,40,76.456,0.434,0.991,0.109,1.477,0.024,41.91,0.838,13.777,0.245,0.13,1.331,5.413,0.001,0.48047,0.013265,0.0039993,4.1684e-05,2880,0.12004992,1.7766e-14
"42",0.74,18.911,0.164,3.275,0.789,0.566,4907.35,58.844,0.42,0.441,1.644,0.105,0.103,0.771,1.562,0.034,0.034,2261.508,166.024,21.411,238.029,22.855,270.046,40,122.06,0.046,0.509,0.609,1.17,0.015,44.312,1.664,79.687,0.559,0.107,4,9.353,0,0.62376,0.0039899,0.0030439,0.00010002,2270,0.2270454,4.1811e-13
"43",0.74,15.55,0.193,4.435,0.199,28.81,3563.055,80.246,0.559,0.197,1.311,0.149,0.124,1.123,1.349,0.093,0.093,2374.584,173.414,22.819,143.468,20.848,164.122,40,239.742,0.592,0.432,0.259,0.975,0.01,11.206,3.465,49.781,0.051,0.065,13.035,4.055,0,2.7647,0.0035961,0.0028949,0.0001254,2380,0.298452,2.3329e-12
"44",0.767,16.021,0.457,0.415,0.602,35.866,4377.384,96.617,0.71,0.249,1.445,0.113,0.182,0.07,1.756,0.09,0.09,5088.197,235.4,24.623,304.658,21.435,373.775,40,22.17,0.098,0.385,0.308,1.176,0.009,29.569,0.333,58.374,0.097,0.114,13.973,4.594,0,6.0508,0.0042215,0.0035572,0.0003312,5090,1.685808,7.5007e-12
"45",0.761,17.582,0.296,0.526,0.448,4.249,3759.479,58.727,0.617,0.439,1.452,0.155,0.126,1.617,1.427,0.069,0.069,3319.373,249.348,24.038,261.702,23.583,325.25,40,219.81,0.407,0.75,0.124,1.283,0.027,53.355,2.489,71.693,0.981,0.067,14.429,2.991,0,0.57594,0.0065341,0.003391,4.7441e-05,3320,0.15750412,2.5559e-13
"46",0.763,19.574,0.314,2.628,0.228,3.053,4085.312,82.278,0.797,0.156,1.418,0.05,0.287,1.83,0.659,0.166,0.166,3417.463,226.523,24.006,38.75,21.489,223.967,40,19.334,0.283,0.666,0.281,1.367,0.029,6.645,0.827,41.937,0.653,0.127,8.886,9.654,0,1.7061,0.0054185,0.0029328,1.3187e-05,3420,0.04509954,2.0691e-13
"47",0.735,18.395,0.396,0.542,0.199,30.003,4961.078,96.98,0.628,0.286,1.384,0.108,0.263,1.29,0.758,0.197,0.197,1893.666,65.13,21.329,151.623,24.963,414.997,40,176.331,0.635,0.291,0.13,0.955,0.007,59.487,4.612,44.271,1.253,0.055,10.87,2.368,0.001,5.7697,0.0037204,0.0031245,0.00023701,1900,0.450319,1.2763e-12
"48",0.742,18.086,0.362,4.586,0.568,32.604,4883.548,65.815,0.164,0.247,1.644,0.046,0.292,0.8,1.201,0.044,0.044,2361.765,63.444,21.29,468.364,21.507,176.023,40,159.065,0.19,0.748,0.776,0.872,0.028,53.183,4.18,16.172,0.053,0.007,10.309,1.002,0,0.2348,0.027687,0.0079813,0.00011306,2370,0.2679522,6.4025e-14
"49",0.731,17.447,0.149,4.926,0.663,8.2,2558.11,76.997,0.908,0.205,1.557,0.042,0.284,1.68,1.24,0.135,0.135,2777.65,289.782,22.663,667.562,23.501,313.244,40,355.328,0.497,0.798,0.558,1.188,0.025,48.263,0.293,53.085,0.114,0.048,4.198,5.543,0.001,1.0192,0.010466,0.0047225,8.1995e-05,2780,0.2279461,1.7577e-13
"50",0.747,17.457,0.22,0.074,0.857,27.903,4052.823,96.837,0.399,0.024,1.382,0.068,0.282,1.693,1.808,0.053,0.053,4312.419,148.136,20.177,136.222,23.991,142.866,40,287.973,0.172,0.577,0.66,1.038,0.004,30.893,3.545,58.949,0.826,0.011,8.916,9.472,0.001,5.4826,0.0012697,0.001101,6.7479e-05,4340,0.29285886,1.3207e-11
"51",0.769,16.472,0.371,3.183,0.435,20.254,4811.3,92.665,0.259,0.133,1.508,0.013,0.114,0.23,1.015,0.092,0.092,5825.065,246.7,21.09,197.337,20.968,395.851,40,46.908,0.416,0.651,0.623,1.645,0.005,1.54,4.105,77.952,0.748,0.017,12.847,7.795,0.001,3.7707,0.0011338,0.00089358,3.1189e-05,5830,0.18183187,2.0472e-12
"52",0.754,15.508,0.402,3.829,0.385,10.448,2416.475,90.219,0.873,0.012,1.48,0.081,0.238,0.657,1.844,0.01,0.01,1774.742,9.419,20.825,570.811,24.9,363.457,40,47.107,0.03,0.565,0.425,1.239,0.02,1.056,4.796,6.731,1.369,0.025,8.775,2.896,0.001,3.5832,0.34232,0.2158,0.0047441,1780,8.444498,3.2214e-11
"53",0.743,17.665,0.365,2.808,0.708,46.259,3128.974,53.216,0.226,0.224,1.306,0.154,0.275,1.287,0.632,0.186,0.186,4738.541,279.365,21.539,235.062,23.335,223.389,40,85.966,0.616,0.559,0.726,1.36,0.01,48.976,0.558,50.675,1.086,0.011,0.676,1.134,0,0.08484,0.012892,0.0028603,3.8372e-05,4750,0.182267,2.3042e-15
"54",0.725,19.139,0.108,0.847,0.728,17.907,3594.737,73.355,0.008,0.31,1.46,0.018,0.106,0.287,0.907,0.08,0.08,4502.707,69.071,22.925,521.441,20.366,198.163,40,246.407,0.017,0.094,0.369,1.478,0.005,42.057,2.827,30.181,1.143,0.089,14.249,7.764,0.001,0.68099,0.001303,0.0011102,0.00026512,4520,1.1983424,9.9941e-14
"55",0.725,19.389,0.323,1.488,0.106,35.993,3168.572,62.304,0.251,0.428,1.504,0.015,0.127,1.484,1.559,0.199,0.199,899.471,246.213,23.374,248.787,20.75,279.103,40,3.347,0.398,0.943,0.698,1.29,0.023,21.454,0.583,62.089,1.012,0.003,10.595,5.706,0.001,0.058746,0.032536,0.011651,9.4092e-05,901,0.084776892,3.183e-15
"56",0.763,15.862,0.321,3.314,0.908,42.377,4768.843,87.213,0.454,0.187,1.411,0.146,0.248,0.427,0.866,0.181,0.181,4588.957,226.661,20.8,707.98,23.2,250.546,40,238.108,0.233,0.753,0.578,1.13,0.017,58.11,1.135,5.027,0.249,0.109,7.555,3.971,0.001,3.4572,0.0047806,0.0026678,8.2657e-05,4600,0.3802222,7.2544e-13
"57",0.74,15.444,0.368,0.614,0.974,15.597,3945.667,95.158,0.126,0.338,1.575,0.09,0.164,0.35,1.536,0.092,0.092,2867.927,16.531,24.524,705.363,21.599,368.554,40,157.789,0.556,0.3,0.392,1.654,0.004,21.096,1.074,23.656,1.039,0.047,7.477,7.654,0.001,5.3443,0.0019929,0.0016049,0.00024395,2870,0.7001365,5.0301e-12
"58",0.727,17.987,0.303,4.138,0.412,25.568,3867.349,73.234,0.897,0.312,1.642,0.155,0.207,0.106,1.356,0.158,0.158,4602.739,184.197,23.715,727.992,21.538,306.357,40,118.586,0.155,0.191,0.155,1.21,0.013,50.38,1.675,63.845,0.765,0.124,4.923,5.738,0,1.6435,0.0021612,0.0016608,0.00020853,4610,0.9613233,3.663e-13
"59",0.75,15.933,0.366,2.194,0.103,21.043,3194.356,96.314,0.363,0.23,1.504,0.089,0.292,0.32,0.965,0.113,0.113,4210.835,84.184,21.147,376.318,21.468,123.692,40,154.984,0.379,0.468,0.536,1.242,0.01,28.688,1.617,62.484,1.085,0.089,3.269,6.17,0,5.2347,0.0019702,0.0015344,9.451e-05,4220,0.3988322,2.525e-12
"60",0.729,15.159,0.165,2.486,0.957,18.654,4002.502,87.016,0.945,0.367,1.402,0.096,0.275,1.441,0.856,0.104,0.104,4958.827,207.92,23.004,292.307,22.27,294.003,40,315.813,0.691,0.106,0.673,1.714,0.001,38.368,0.078,3.1,1.436,0.024,7.816,4.848,0.001,2.9451,0.00074922,0.00068629,0.00022266,5030,1.1199798,1.1113e-12
"61",0.744,18.109,0.426,1.652,0.307,18.065,3878.587,53.177,0.94,0.151,1.398,0.034,0.12,1.346,1.659,0.007,0.007,4610.299,113.474,23.147,537.094,22.388,252.996,40,210.938,0.384,0.364,0.361,1.671,0.026,33.568,3.99,66.981,1.428,0.137,1.593,8.963,0.001,0.0013122,0.0034421,0.0018737,6.9816e-05,4610,0.32185176,6.4003e-15
"62",0.76,15.519,0.371,0.715,0.54,2.053,3736.361,53.001,0.694,0.458,1.582,0.015,0.267,0.784,1.788,0.15,0.15,4703.894,331.195,24.801,148.42,23,292.647,40,15.608,0.389,0.351,0.27,1.328,0.016,22.672,0.673,34.783,0.98,0.058,4.641,6.461,0,0,0.0048679,0.0024136,4.6238e-05,4710,0.21778098,0
"63",0.763,18.419,0.289,4.134,0.197,21.179,2950.248,57.931,0.612,0.218,1.354,0.084,0.279,0.986,1.676,0.132,0.132,5311.827,157.081,22.43,343.717,20.192,212.168,40,161.508,0.731,0.619,0.39,0.918,0.012,35.412,3.222,54.345,0.187,0.104,12.954,3.935,0.001,0.085842,0.0018796,0.0014919,4.9248e-05,5320,0.26199936,8.9014e-15
"64",0.779,17.59,0.282,3.82,0.871,12.663,2054.254,94.966,0.581,0.01,1.642,0.103,0.139,0.268,0.775,0.188,0.188,1515.129,332.336,20.252,233.399,20.649,247.104,40,92.551,0.312,0.048,0.605,1.014,0.01,19.936,4.972,65.028,0.663,0.119,3.817,2.481,0.001,5.5878,0.0091482,0.0080841,0.0022887,1520,3.478824,1.0187e-12
"65",0.748,18.239,0.12,2.701,0.574,17.487,2737.318,67,0.182,0.13,1.618,0.073,0.112,1.602,0.562,0.179,0.179,1885.981,280.203,22.904,570.267,24.897,305.019,40,309.7,0.061,0.398,0.51,1.708,0.013,39.207,1.891,19.587,1.414,0.05,0.186,0.402,0.001,0.95714,0.032766,0.0056683,0.00015661,1890,0.2959929,4.8001e-14
"66",0.743,17.137,0.401,0.615,0.505,40.592,2604.278,89.411,0.134,0.255,1.617,0.156,0.193,0.449,1.034,0.138,0.138,1621.223,322.259,20.054,138.154,21.714,236.608,40,208.006,0.641,0.748,0.414,1.032,0.012,22.052,1.2,45.039,0.909,0.127,8.019,6.185,0,4.2624,0.0039225,0.0032812,7.533e-05,1620,0.1220346,1.469e-12
"67",0.743,15.368,0.345,2.853,0.946,38.068,2880.948,60.076,0.604,0.188,1.34,0.119,0.193,0.298,1.416,0.007,0.007,3309.861,12.934,20.447,274.611,24.595,255.078,40,82.499,0.456,0.031,0.318,0.945,0.014,29.879,2.612,79.458,0.318,0.05,1.051,4.782,0.001,0.43083,0.014612,0.0095505,0.0011102,3320,3.685864,2.6961e-12
"68",0.735,19.66,0.484,4.803,0.252,29.328,4307.418,69.395,0.73,0.119,1.595,0.075,0.22,0.031,1.881,0.048,0.048,4036.24,53.074,22.189,622.272,20.592,372.018,40,332.853,0.25,0.222,0.59,0.879,0.013,5.033,2.804,32.417,1.499,0.075,0.245,8.315,0.001,0.70344,0.0046726,0.0031609,0.00024738,4040,0.9994152,3.6746e-13
"69",0.762,16.197,0.458,0.637,0.976,5.152,3488.211,74.633,0.092,0.022,1.319,0.101,0.104,1.341,1.847,0.159,0.159,3005.935,30.041,22.936,475.13,23.904,282.835,40,354.479,0.386,0.751,0.461,1.224,0.023,42.697,0.989,14.661,0.66,0.063,9.206,8.138,0.001,2.2094,0.0075214,0.0038879,7.1285e-05,3010,0.21456785,1.0185e-12
"70",0.76,15.525,0.439,4.712,0.337,40.113,2757.15,76.489,0.633,0.144,1.47,0.041,0.297,1.314,0.672,0.192,0.192,2479.184,232.983,20.905,236.84,20.371,118.698,40,209.246,0.099,0.482,0.311,1.503,0.026,23.154,3.72,35.716,1.241,0.013,2.403,0.359,0,0.90591,0.047654,0.0049465,6.7393e-05,2480,0.16713464,5.1449e-14
