"","var","pcc"
"1","PFAC",0.00662602350590948
"2","ANETD",-0.00859338853011184
"3","uslek",0.119981526761142
"4","uslels",0.195263020243476
"5","uslep",0.143301018247407
"6","slp",0.0278011777772886
"7","hl",-0.0196480279683573
"8","CN_c",0.261883647959432
"9","uslec_c",0.169073582735825
"10","MNGN",-0.0134253909402592
"11","bd1",-0.0432122943740348
"12","fc",0.0560963568646308
"13","WP",-0.0243727365807362
"14","OC",-0.00324480527674142
"15","app_rate",0.116078842955832
"16","DWRATE",-0.00568002763322708
"17","DSRATE",-0.00568002763322708
"18","kd",-0.0939736871838511
"19","aer_aq",0.00847252075086282
"20","temp_ref_aer",-0.00105001647369082
"21","anae_aq",0.0276171557736213
"22","temp_ref_anae",0.00486549935801943
"23","photo",0.00383862825816876
"24","RFLAT",0.00455386133367562
"25","hydro",0.0227269351478794
"26","SOL",-0.00352167024783333
"27","benthic_depth",-0.0548009039500508
"28","porosity",-0.0212505260310976
"29","bulk_density",-0.00964472363644846
"30","FROC2",0.0814099942430157
"31","DOC2",0.0258215273323155
"32","BNMAS",0.0274626766488352
"33","SUSED",-0.0426414878497507
"34","CHL",0.0137582297085933
"35","FROC1",-0.0532758191764943
"36","DOC1",-0.0258550441393781
"37","PLMAS",-0.0263398431576523
"38","bf",0.00645261186895041
