"","var","pcc"
"1","PFAC",-0.0396425403462383
"2","ANETD",0.0128182779063988
"3","uslek",0.0101726842423335
"4","uslels",0.0638884837662024
"5","uslep",0.0648520668760934
"6","slp",-0.0239655522439754
"7","hl",-0.0383812372822437
"8","CN_c",0.131271959480576
"9","uslec_c",0.0624572178969062
"10","MNGN",0.0098934168362541
"11","bd1",-0.0079891707779376
"12","fc",0.0788963349371483
"13","WP",-0.024885383601643
"14","OC",0.0421323814859502
"15","dep",-0.0663820077079327
"16","app_rate",0.0389602613494179
"17","app_eff",0.00772135784567225
"18","DWRATE",0.00594974970255793
"19","DSRATE",0.00594974970255793
"20","kd",0.0309879309055041
"21","aer_aq",-0.0245836195077825
"22","temp_ref_aer",0.00152167559500632
"23","anae_aq",0.158093861291221
"24","temp_ref_anae",0.000266680389838272
"25","photo",-0.0155544775429365
"26","RFLAT",-0.0167816840843971
"27","hydro",0.0528389089372924
"28","SOL",0.001736663020027
"29","benthic_depth",-0.390621234784234
"30","porosity",-0.0130774521511195
"31","bulk_density",-0.0807723773709603
"32","FROC2",-0.0281590988611218
"33","DOC2",0.0295257399124525
"34","BNMAS",-0.0172021327144357
"35","SUSED",0.0392565032409428
"36","CHL",-0.098317473589183
"37","FROC1",-0.0133395270372954
"38","DOC1",-0.0397021210593924
"39","PLMAS",-0.0218275081651959
"40","bf",0.0407737052640184
