ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2012	01-MAY-12	PLACER	31	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	27.5143	BIFENTHRIN	2.1736297			
NO	2012	01-NOV-12	PLACER	31	LANDSCAPE MAINTENANCE	WISDOM EZ	2.8438	BIFENTHRIN	.0056876			
NO	2012	01-JAN-12	PLACER	31	LANDSCAPE MAINTENANCE	WISDOM LAWN GRANULAR INSECTICIDE	10.5	BIFENTHRIN	.021			
NO	2012	01-OCT-12	PLACER	31	REGULATORY PEST CONTROL	LESCO CROSSCHECK PLUS MULTI-INSECTICIDE	1.3992	BIFENTHRIN	.1105368			
NO	2012	01-OCT-12	PLACER	31	REGULATORY PEST CONTROL	WISDOM LAWN GRANULAR INSECTICIDE	.125	BIFENTHRIN	.00025			
NO	2012	01-FEB-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	13.4858	BIFENTHRIN	1.0653782			
NO	2012	01-AUG-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	16.7981	BIFENTHRIN	1.3270499			
NO	2012	01-JUN-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	18.1241	BIFENTHRIN	1.4318039			
NO	2012	01-OCT-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	14.3641	BIFENTHRIN	1.1347639			
NO	2012	01-NOV-12	PLACER	31	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	10.9454	BIFENTHRIN	.8646866			
