"","var","pcc"
"1","PFAC",-0.00811132602071957
"2","ANETD",0.0163610329061015
"3","uslek",0.0673038086774666
"4","uslels",0.106975597849367
"5","uslep",0.0714318373507552
"6","slp",-0.0200953817201842
"7","hl",-0.0132161592771711
"8","CN_c",0.238046611631723
"9","uslec_c",0.120998122877831
"10","MNGN",-0.00605424691338808
"11","depth",0.00024371016090263
"12","COVMAX",0.00265055567775875
"13","HTMAX",0.0163351077929789
"14","holdup",-0.00434337630588136
"15","bd1",-0.0448126971967023
"16","fc",0.0142033820207567
"17","WP",-0.0547731955971049
"18","OC",0.00967224833145347
"19","dep",-0.238909043944504
"20","app_rate",0.209197339392894
"21","app_eff",0.175386091888114
"22","DWRATE",-0.00737143084364046
"23","DSRATE",-0.00737143084364046
"24","kd",0.020833113659188
"25","aer_aq",0.0184489891038473
"26","temp_ref_aer",0.0219750348253599
"27","anae_aq",0.0771319880893104
"28","temp_ref_anae",0.101292602763553
"29","photo",-0.00527941256831146
"30","RFLAT",0.0229417113615304
"31","hydro",0.0186816759774112
"32","SOL",0.00633415864342228
"33","benthic_depth",-0.293205208075823
"34","porosity",-0.0246819089133039
"35","bulk_density",-0.0445280889326339
"36","FROC2",0.00251133078689498
"37","DOC2",-0.0166982743878506
"38","BNMAS",0.00179595637830067
"39","SUSED",-0.00778925944044306
"40","CHL",-0.0128907202526735
"41","FROC1",-0.00514056262808965
"42","DOC1",-0.0244285382254979
"43","PLMAS",-0.0107963502848067
"44","bf",0.000907507325330963
