"","Depth.m..1","Ave.Conc.H20.1","Ave.Conc.benth.1","Peak.Conc.H20.1","Depth.m..2","Ave.Conc.H20.2","Ave.Conc.benth.2","Peak.Conc.H20.2","Depth.m..3","Ave.Conc.H20.3","Ave.Conc.benth.3","Peak.Conc.H20.3","Depth.m..4","Ave.Conc.H20.4","Ave.Conc.benth.4","Peak.Conc.H20.4","Depth.m..5","Ave.Conc.H20.5","Ave.Conc.benth.5","Peak.Conc.H20.5","Depth.m..6","Ave.Conc.H20.6","Ave.Conc.benth.6","Peak.Conc.H20.6","Depth.m..7","Ave.Conc.H20.7","Ave.Conc.benth.7","Peak.Conc.H20.7","Depth.m..8","Ave.Conc.H20.8","Ave.Conc.benth.8","Peak.Conc.H20.8"
"1",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"2",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"3",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"4",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"5",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"6",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"7",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"8",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"9",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"10",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"11",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"12",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"13",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"14",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"15",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"16",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"17",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"18",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"19",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"20",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"21",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"22",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"23",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"24",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"25",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"26",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"27",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"28",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"29",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"30",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"31",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"32",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"33",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"34",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"35",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"36",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"37",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"38",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"39",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"40",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"41",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"42",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"43",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"44",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"45",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"46",1,3.7406e-07,9.4619e-10,9.6044e-07,1,9.2493e-08,2.5758e-10,9.6802e-07,1,6.2743e-08,9.188e-11,9.6331e-07,1,1.1181e-07,1.2007e-09,9.0917e-07,1,2.6767e-07,2.2833e-10,9.4518e-07,1,1.7447e-07,1.58e-10,9.5918e-07,1,9.5518e-08,1.8481e-10,9.2815e-07,1,7.1224e-08,6.0413e-11,9.5768e-07
"47",1,3.7188e-08,1.4732e-09,9.5102e-08,1,1.1311e-11,2.8354e-10,3.6263e-11,1,1.7356e-12,9.7709e-11,1.9343e-12,1,2.3089e-10,1.3492e-09,4.6458e-10,1,8.8478e-09,3.1503e-10,3.111e-08,1,7.3372e-10,1.9105e-10,4.0227e-09,1,1.7725e-11,2.054e-10,6.7886e-11,1,9.7781e-13,6.4862e-11,2.2632e-12
"48",1,3.9174e-09,1.5046e-09,9.639e-09,1,8.6354e-12,2.8224e-10,8.6579e-12,1,1.7115e-12,9.7122e-11,1.7169e-12,1,1.9531e-10,1.3285e-09,1.9695e-10,1,3.4359e-10,3.1725e-10,1.0751e-09,1,5.5821e-12,1.8906e-10,1.9377e-11,1,1.1934e-11,2.0475e-10,1.1959e-11,1,8.6897e-13,6.4443e-11,8.7194e-13
"49",1,6.3104e-10,1.4874e-09,1.1968e-09,1,1.3582e-09,2.8665e-10,1.4142e-08,1,1.7009e-12,9.6539e-11,1.7063e-12,1,1.9224e-10,1.3082e-09,1.9379e-10,1,6.425e-11,3.167e-10,8.8314e-11,1,5.4335e-07,1.0322e-09,3.0195e-06,1,1.1892e-11,2.0411e-10,1.1914e-11,1,8.6318e-13,6.4028e-11,8.6615e-13
"50",1,3.0445e-10,1.4658e-09,3.6131e-10,1,8.7821e-12,2.8573e-10,9.159e-12,1,1.6913e-12,9.5961e-11,1.6958e-12,1,1.8941e-10,1.2881e-09,1.9075e-10,1,5.5055e-11,3.1606e-10,5.5824e-11,1,2.1816e-09,1.128e-09,1.1926e-08,1,1.1861e-11,2.0347e-10,1.1873e-11,1,8.5798e-13,6.3616e-11,8.6039e-13
"51",1,7.5832e-06,2.1123e-08,2.0572e-05,1,8.8203e-07,3.6723e-09,9.6088e-06,1,3.6859e-07,1.2146e-09,5.745e-06,1,6.8172e-06,7.5518e-08,5.7948e-05,1,4.8573e-06,5.7743e-09,1.8404e-05,1,5.8151e-06,8.998e-09,3.6646e-05,1,2.5928e-07,7.3611e-10,2.5565e-06,1,4.8172e-07,1.2576e-09,6.494e-06
"52",1,6.6997e-07,3.1257e-08,1.7127e-06,1,1.3604e-10,3.9042e-09,2.9329e-10,1,2.197e-11,1.2443e-09,2.2644e-11,1,1.3728e-08,8.4095e-08,2.3569e-08,1,1.306e-07,7.2421e-09,4.5817e-07,1,1.2485e-08,9.912e-09,6.8068e-08,1,5.9725e-11,7.9042e-10,1.7885e-10,1,1.7962e-11,1.2822e-09,2.6376e-11
"53",1,7.1348e-08,3.1756e-08,1.7415e-07,1,1.1893e-10,3.8863e-09,1.1919e-10,1,2.1799e-11,1.2368e-09,2.1862e-11,1,1.2178e-08,8.2812e-08,1.2273e-08,1,5.5058e-09,7.2695e-09,1.6255e-08,1,1.8245e-10,9.8049e-09,4.1564e-10,1,4.5935e-11,7.8795e-10,4.6008e-11,1,1.7182e-11,1.274e-09,1.7235e-11
"54",1,1.2237e-08,3.138e-08,2.2425e-08,1,1.1839e-10,3.8685e-09,1.1866e-10,1,2.167e-11,1.2295e-09,2.1735e-11,1,1.1992e-08,8.1546e-08,1.2084e-08,1,1.397e-09,7.2562e-09,1.7515e-09,1,1.2954e-10,9.6962e-09,1.3123e-10,1,4.5792e-11,7.8548e-10,4.5863e-11,1,1.7072e-11,1.2658e-09,1.7127e-11
"55",1,6.3237e-09,3.0924e-08,7.3679e-09,1,1.1785e-10,3.8507e-09,1.1812e-10,1,2.1541e-11,1.2221e-09,2.1605e-11,1,1.1808e-08,8.0297e-08,1.19e-08,1,1.2595e-09,7.2414e-09,1.2724e-09,1,1.2789e-10,9.5884e-09,1.2861e-10,1,4.5649e-11,7.8301e-10,4.572e-11,1,1.6963e-11,1.2577e-09,1.7017e-11
"56",1,5.6629e-09,3.0464e-08,5.8047e-09,1,1.173e-10,3.833e-09,1.1757e-10,1,2.1411e-11,1.2148e-09,2.1476e-11,1,1.1627e-08,7.9066e-08,1.1717e-08,1,1.2523e-09,7.2267e-09,1.2542e-09,1,1.2646e-10,9.4813e-09,1.2718e-10,1,4.5503e-11,7.8055e-10,4.5577e-11,1,1.6853e-11,1.2496e-09,1.6908e-11
"57",1,5.5226e-09,3.0008e-08,5.5735e-09,1,1.1676e-10,3.8154e-09,1.1703e-10,1,2.1283e-11,1.2075e-09,2.1346e-11,1,1.1448e-08,7.7852e-08,1.1537e-08,1,1.2496e-09,7.2119e-09,1.2509e-09,1,1.2505e-10,9.375e-09,1.2575e-10,1,4.5362e-11,7.7809e-10,4.5432e-11,1,1.6745e-11,1.2415e-09,1.6798e-11
"58",1,5.4346e-09,2.9557e-08,5.4766e-09,1,1.1623e-10,3.7978e-09,1.1649e-10,1,2.1154e-11,1.2002e-09,2.1218e-11,1,1.1272e-08,7.6655e-08,1.136e-08,1,1.2471e-09,7.1971e-09,1.2484e-09,1,1.2364e-10,9.2694e-09,1.2434e-10,1,4.522e-11,7.7563e-10,4.529e-11,1,1.6636e-11,1.2335e-09,1.669e-11
"59",1,5.3522e-09,2.911e-08,5.3931e-09,1,1.1569e-10,3.7802e-09,1.1596e-10,1,2.1026e-11,1.1929e-09,2.109e-11,1,1.1099e-08,7.5473e-08,1.1185e-08,1,1.2445e-09,7.1823e-09,1.2458e-09,1,1.2224e-10,9.1643e-09,1.2294e-10,1,4.5077e-11,7.7318e-10,4.5148e-11,1,1.6528e-11,1.2254e-09,1.6582e-11
"60",1,5.2704e-09,2.8668e-08,5.3115e-09,1,1.1515e-10,3.7627e-09,1.1542e-10,1,2.0897e-11,1.1856e-09,2.0962e-11,1,1.0927e-08,7.4307e-08,1.1013e-08,1,1.2417e-09,7.1674e-09,1.2432e-09,1,1.2084e-10,9.0597e-09,1.2155e-10,1,4.4933e-11,7.7073e-10,4.5006e-11,1,1.6419e-11,1.2174e-09,1.6474e-11
"61",1,5.1894e-09,2.823e-08,5.2297e-09,1,1.1461e-10,3.7452e-09,1.1488e-10,1,2.0769e-11,1.1783e-09,2.0833e-11,1,1.0757e-08,7.3157e-08,1.0841e-08,1,1.239e-09,7.1526e-09,1.2404e-09,1,1.1945e-10,8.9559e-09,1.2015e-10,1,4.4789e-11,7.6828e-10,4.4861e-11,1,1.6311e-11,1.2094e-09,1.6365e-11
"62",1,5.1048e-09,2.7798e-08,5.1495e-09,1,1.1404e-10,3.7277e-09,1.1435e-10,1,2.0637e-11,1.1711e-09,2.0705e-11,1,1.0586e-08,7.2023e-08,1.0673e-08,1,1.2354e-09,7.1377e-09,1.2377e-09,1,1.1802e-10,8.8528e-09,1.1877e-10,1,4.4632e-11,7.6584e-10,4.4718e-11,1,1.62e-11,1.2015e-09,1.6258e-11
"63",1,5.0291e-09,2.7371e-08,5.0631e-09,1,1.1355e-10,3.7104e-09,1.1377e-10,1,2.0514e-11,1.1639e-09,2.0573e-11,1,1.0426e-08,7.0905e-08,1.0503e-08,1,1.2335e-09,7.1228e-09,1.2337e-09,1,1.1671e-10,8.7504e-09,1.1732e-10,1,4.4505e-11,7.634e-10,4.4559e-11,1,1.6097e-11,1.1935e-09,1.6146e-11
"64",1,4.9539e-09,2.695e-08,4.9926e-09,1,1.1302e-10,3.6931e-09,1.1329e-10,1,2.0387e-11,1.1567e-09,2.0451e-11,1,1.0264e-08,6.9804e-08,1.0345e-08,1,1.2312e-09,7.108e-09,1.2326e-09,1,1.1537e-10,8.6492e-09,1.1605e-10,1,4.4363e-11,7.6097e-10,4.4436e-11,1,1.5991e-11,1.1856e-09,1.6044e-11
"65",1,4.878e-09,2.6535e-08,4.9155e-09,1,1.1249e-10,3.6758e-09,1.1275e-10,1,2.0262e-11,1.1495e-09,2.0324e-11,1,1.0105e-08,6.872e-08,1.0184e-08,1,1.2286e-09,7.0932e-09,1.2298e-09,1,1.1404e-10,8.5491e-09,1.147e-10,1,4.4223e-11,7.5854e-10,4.4292e-11,1,1.5885e-11,1.1778e-09,1.5938e-11
"66",1,4.8022e-09,2.6126e-08,4.8404e-09,1,1.1196e-10,3.6587e-09,1.1223e-10,1,2.0136e-11,1.1424e-09,2.0199e-11,1,9.9471e-09,6.7652e-08,1.0026e-08,1,1.2259e-09,7.0784e-09,1.2274e-09,1,1.1271e-10,8.4501e-09,1.1338e-10,1,4.4079e-11,7.5613e-10,4.4153e-11,1,1.5779e-11,1.17e-09,1.5833e-11
