"","var","pcc"
"1","PFAC",-0.00826427024197328
"2","ANETD",0.0171654428610411
"3","uslek",0.0704063140776525
"4","uslels",0.103407805532276
"5","uslep",0.0703633675263436
"6","slp",-0.0213865154586719
"7","hl",-0.0135575049373378
"8","CN_c",0.236340328571053
"9","uslec_c",0.122210748186456
"10","MNGN",-0.00655971481890629
"11","depth",-0.00126622607458816
"12","COVMAX",0.0025631254629286
"13","HTMAX",0.0144806275734473
"14","holdup",-0.00813713169108512
"15","bd1",-0.042950325347253
"16","fc",0.0166891432254451
"17","WP",-0.0538651604448762
"18","OC",0.0093363802718271
"19","dep",-0.238446080200591
"20","app_rate",0.208693623341552
"21","app_eff",0.172808520945531
"22","DWRATE",-0.00619173976578794
"23","DSRATE",-0.00619173976578794
"24","kd",-0.0340521444512548
"25","aer_aq",0.0205524980291935
"26","temp_ref_aer",0.0206441161170046
"27","anae_aq",0.0795573160326415
"28","temp_ref_anae",0.101776485933957
"29","photo",-0.0066551449518087
"30","RFLAT",0.0220941045722001
"31","hydro",0.0193369725885552
"32","SOL",0.00534303657443012
"33","benthic_depth",-0.292580330904516
"34","porosity",-0.0259081455563586
"35","bulk_density",-0.0420948311637758
"36","FROC2",0.00240358536515044
"37","DOC2",-0.0169533722607655
"38","BNMAS",0.002220082340992
"39","SUSED",-0.00384970742592645
"40","CHL",-0.0173917451718757
"41","FROC1",8.38603039366919e-05
"42","DOC1",-0.0208105022351658
"43","PLMAS",-0.0110441293936642
"44","bf",-0.00281566937438059
