"","var","pcc"
"1","PFAC",-0.0121830105195459
"2","ANETD",0.0358028867416297
"3","uslek",0.12566162997023
"4","uslels",0.155390069094316
"5","uslep",0.111833191410625
"6","slp",0.00699795714949774
"7","hl",-0.030335035279158
"8","CN_c",0.287416245885598
"9","uslec_c",0.187143110164549
"10","MNGN",-0.021364569826083
"11","depth",-0.00590377550992689
"12","COVMAX",-0.00280642648384182
"13","HTMAX",-0.00231850852900801
"14","holdup",0.0125556021648635
"15","bd1",-0.0758060891115978
"16","fc",0.010992919374738
"17","WP",-0.0359638600761618
"18","OC",0.0074795632277135
"19","dep",-0.336343445094394
"20","app_rate",0.336378622235757
"21","app_eff",0.289438680471459
"22","DWRATE",-0.006772995730382
"23","DSRATE",-0.006772995730382
"24","kd",-0.0167913944109263
"25","aer_aq",0.0158807418291457
"26","temp_ref_aer",0.00999776435767665
"27","anae_aq",-0.0103255589859885
"28","temp_ref_anae",0.0253195323979983
"29","photo",0.00488615038042686
"30","RFLAT",0.0260015629088815
"31","hydro",0.0315064052702011
"32","SOL",-0.00350163756687824
"33","benthic_depth",-0.0165940388896279
"34","porosity",0.00451936299638907
"35","bulk_density",-0.0318939857830333
"36","FROC2",0.0283266982777499
"37","DOC2",-0.00365262374988274
"38","BNMAS",0.000469627467436717
"39","SUSED",-0.025292133238978
"40","CHL",-0.00700893346242276
"41","FROC1",-0.0371967172930361
"42","DOC1",-0.00649560774059132
"43","PLMAS",0.0106030191737983
"44","bf",-0.0218615400408515
