"","var","pcc"
"1","PFAC",-0.0103312533576032
"2","ANETD",0.0307944520773485
"3","uslek",-0.0104291302824437
"4","uslels",-0.0109604145403489
"5","uslep",0.015305684019576
"6","slp",-0.00277221340206613
"7","hl",-0.0335835762749035
"8","CN_c",0.987531852077237
"9","uslec_c",-0.0218886541513815
"10","MNGN",0.00453234498876858
"11","bd1",-0.00450346571802905
"12","fc",-0.00434750043053211
"13","WP",-0.0215813316133502
"14","OC",0.00291918523579481
"15","app_rate",0.0217210257550455
"16","DWRATE",0.00869578707826867
"17","DSRATE",0.00869578707826867
"18","kd",0.000351889231760321
"19","aer_aq",0.0190985843108543
"20","temp_ref_aer",0.0136084617016424
"21","anae_aq",0.0192009529096545
"22","temp_ref_anae",-0.000608927387216778
"23","photo",-0.00857066696275959
"24","RFLAT",-0.0164223675649661
"25","hydro",0.00166633620503431
"26","SOL",0.00165852338789605
"27","benthic_depth",-0.000135902642667737
"28","porosity",0.0316008379563287
"29","bulk_density",-0.0010667176465513
"30","FROC2",-0.0134136949913181
"31","DOC2",-0.00496319181902413
"32","BNMAS",0.00492728362204051
"33","SUSED",-0.00449719670719917
"34","CHL",0.00686472092300603
"35","FROC1",0.0480603394442431
"36","DOC1",-0.0045217149214024
"37","PLMAS",-0.00339329687388566
"38","bf",-0.0062419334937111
