"","var","pcc"
"1","PFAC",0.00486663479270867
"2","ANETD",0.0114920104055383
"3","uslek",0.101369023494603
"4","uslels",0.197708229843632
"5","uslep",0.145143373556579
"6","slp",0.00859293184133103
"7","hl",-0.0165585236082812
"8","CN_c",0.443430150283576
"9","uslec_c",0.207141746838144
"10","MNGN",0.0056229784567333
"11","bd1",0.000389139127159753
"12","fc",-0.0318566601641969
"13","WP",0.0227944763726801
"14","OC",-0.00631156510195354
"15","app_rate",0.182117495095935
"16","DWRATE",-0.00498301313973701
"17","DSRATE",-0.00498301313973701
"18","kd",-0.257179795479954
"19","aer_aq",0.00132961116196716
"20","temp_ref_aer",0.0206763532933959
"21","anae_aq",0.111040030154713
"22","temp_ref_anae",0.0276510696871554
"23","photo",0.00150286188840736
"24","RFLAT",-0.00822469798682949
"25","hydro",-0.000904276016597978
"26","SOL",0.00446414772515946
"27","benthic_depth",-0.352954863141043
"28","porosity",0.0213781452732485
"29","bulk_density",-0.0971677762483033
"30","FROC2",0.0362712289478307
"31","DOC2",0.0123430742475786
"32","BNMAS",-0.0019829030304821
"33","SUSED",-0.00143545496471416
"34","CHL",0.00148016238308443
"35","FROC1",-0.00975777144634916
"36","DOC1",-0.0209453121515633
"37","PLMAS",-0.00997440213258972
"38","bf",-0.00605676446609154
