ADJUVANT	YEAR	DATE	COUNTY_NAME	COMTRS	SITE_NAME	PRODUCT_NAME	POUNDS_PRODUCT_APPLIED	CHEMICAL_NAME	POUNDS_CHEMICAL_APPLIED	AMOUNT_TREATED	UNIT_TREATED	AERIAL_GROUND_INDICATOR
NO	2010	30-APR-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	.3984	BIFENTHRIN	.0314736			
NO	2010	30-JUN-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR PROFESSIONAL INSECTICIDE	2.7553	BIFENTHRIN	.2176687			
NO	2010	31-MAY-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	30.9536	BIFENTHRIN	2.4453344			
NO	2010	01-MAR-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	4.2991	BIFENTHRIN	.3396289			
NO	2010	30-JUN-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	51.5894	BIFENTHRIN	4.0755626			
NO	2010	30-APR-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	21.4956	BIFENTHRIN	1.6981524			
NO	2010	31-OCT-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	12.0375	BIFENTHRIN	.9509625			
NO	2010	30-SEP-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR T&O FLOWABLE INSECTICIDE/MITICIDE	15.4768	BIFENTHRIN	1.2226672			
NO	2010	30-SEP-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR TERMITICIDE/INSECTICIDE	.1	BIFENTHRIN	.0079			
NO	2010	30-JUN-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR TERMITICIDE/INSECTICIDE	.1	BIFENTHRIN	.0079			
NO	2010	31-OCT-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR TERMITICIDE/INSECTICIDE	.6664	BIFENTHRIN	.0526456			
NO	2010	31-OCT-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTAR TERMITICIDE/INSECTICIDE	.1999	BIFENTHRIN	.0157921			
NO	2010	31-JUL-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTARONE MULTI-INSECTICIDE	84.9827	BIFENTHRIN	6.7136333			
NO	2010	30-APR-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTARONE MULTI-INSECTICIDE	.3452	BIFENTHRIN	.0272708			
NO	2010	31-AUG-10	SACRAMENTO	34	LANDSCAPE MAINTENANCE	TALSTARONE MULTI-INSECTICIDE	20.3958	BIFENTHRIN	1.6112682			
NO	2010	31-JUL-10	SACRAMENTO	34	STRUCTURAL PEST CONTROL	ALOFT LC G	356	BIFENTHRIN	.445			
NO	2010	31-AUG-10	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	34.9306	BIFENTHRIN	2.7595174			
NO	2010	31-DEC-10	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	28.5796	BIFENTHRIN	2.2577884			
NO	2010	01-MAR-10	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.2703	BIFENTHRIN	.0213537			
NO	2010	30-APR-10	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	23.1745	BIFENTHRIN	1.8307855			
NO	2010	31-MAY-10	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	24.6609	BIFENTHRIN	1.9482111			
NO	2010	31-JUL-10	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	25.7419	BIFENTHRIN	2.0336101			
NO	2010	01-JAN-10	SACRAMENTO	34	STRUCTURAL PEST CONTROL	BIFEN I/T INSECTICIDE/TERMITICIDE	.1013	BIFENTHRIN	.0080027			
