"month","year","bif_kg","bif_kg_with_home"
1,2009,109.173699246213,136.467124057766
2,2009,61.818392626096,77.27299078262
3,2009,521.874382759532,652.342978449415
4,2009,316.902148231562,396.127685289453
5,2009,185.80821864699,232.260273308738
6,2009,385.53886476915,481.923580961437
7,2009,330.835695677906,413.544619597383
8,2009,578.657509565124,723.321886956405
9,2009,325.679299760341,407.099124700426
10,2009,309.737975597257,387.172469496571
11,2009,257.225644108908,321.532055136135
12,2009,239.357507958662,299.196884948328
1,2010,178.936010183138,223.670012728923
2,2010,241.210522586732,301.513153233415
3,2010,190.164480789454,237.705600986818
4,2010,172.388598588742,215.485748235928
5,2010,324.033541944732,405.041927430915
6,2010,424.346767896191,530.433459870239
7,2010,74.9528534507593,93.6910668134491
8,2010,242.56437405126,303.205467564075
9,2010,293.125637606849,366.407047008561
10,2010,295.740562152373,369.675702690466
11,2010,623.005544638531,778.756930798164
12,2010,627.371391837664,784.21423979708
1,2011,703.320809356156,879.151011695195
2,2011,771.944567999539,964.930709999424
3,2011,683.133650304234,853.917062880293
4,2011,897.925234333103,1122.40654291638
5,2011,856.089921176991,1070.11240147124
6,2011,1198.90570572999,1498.63213216249
7,2011,1078.11322390317,1347.64152987896
8,2011,1212.67596514564,1515.84495643205
9,2011,996.907657208474,1246.13457151059
10,2011,896.334359348734,1120.41794918592
11,2011,697.721579652,872.151974565
12,2011,937.327667175954,1171.65958396994
1,2012,218.349667949279,272.937084936599
2,2012,506.238724243545,632.798405304431
3,2012,589.697824875598,737.122281094498
4,2012,456.570926287795,570.713657859744
5,2012,463.040946704611,578.801183380764
6,2012,358.025581851354,447.531977314192
7,2012,353.854425201808,442.31803150226
8,2012,1498.62006867573,1873.27508584466
9,2012,1325.81835246856,1657.2729405857
10,2012,1344.29026178661,1680.36282723326
11,2012,1073.7013000485,1342.12662506062
12,2012,239.236729014384,299.04591126798
1,2013,231.437676290217,289.297095362771
2,2013,408.776190229661,510.970237787076
3,2013,227.463287646155,284.329109557694
4,2013,204.677723919245,255.847154899056
5,2013,779.324109195333,974.155136494166
6,2013,788.904485093664,986.13060636708
7,2013,958.244349712817,1197.80543714102
8,2013,818.674485652094,1023.34310706512
9,2013,228.702411038325,285.878013797906
10,2013,178.144802332028,222.681002915035
11,2013,439.010185993186,548.762732491482
12,2013,168.72983256667,210.912290708338
1,2014,180.715951081041,225.894938851301
2,2014,123.83236427511,154.790455343887
3,2014,192.291021227399,240.363776534249
4,2014,159.167638327597,198.959547909496
5,2014,233.670294374702,292.087867968378
6,2014,196.82313209786,246.028915122325
7,2014,207.602555523651,259.503194404564
8,2014,277.494585698639,346.868232123299
9,2014,68.3357133989478,85.4196417486848
10,2014,170.572523771941,213.215654714926
11,2014,80.9987982375312,101.248497796914
12,2014,69.0344022440398,86.2930028050498
