"month","year","bif_kg","bif_kg_with_home"
1,2009,25.4092357805464,31.761544725683
2,2009,43.2819288974608,54.102411121826
3,2009,101.787646614789,127.234558268486
4,2009,53.5327249936576,66.915906242072
5,2009,44.4332373819184,55.541546727398
6,2009,24.9094122777712,31.136765347214
7,2009,28.5543422832776,35.692927854097
8,2009,76.0147003570024,95.018375446253
9,2009,87.8686733606315,109.835841700789
10,2009,36.1985943589192,45.248242948649
11,2009,32.1225192244294,40.1531490305368
12,2009,14.6578219873416,18.322277484177
1,2010,37.841694139016,47.30211767377
2,2010,23.0418802109456,28.802350263682
3,2010,28.7698851647088,35.962356455886
4,2010,45.76223009976,57.2027876247
5,2010,72.7900763235775,90.9875954044719
6,2010,89.6704609502242,112.08807618778
7,2010,50.5341269288458,63.1676586610573
8,2010,37.4864443228434,46.8580554035542
9,2010,82.9034583517696,103.629322939712
10,2010,47.2803882718994,59.1004853398742
11,2010,89.3785470559082,111.723183819885
12,2010,69.5835337191865,86.9794171489831
1,2011,134.392232104234,167.990290130293
2,2011,174.018428076751,217.523035095939
3,2011,110.408093946319,138.010117432899
4,2011,208.014083587885,260.017604484856
5,2011,165.674182167298,207.092727709122
6,2011,179.373498034207,224.216872542759
7,2011,310.048226179505,387.560282724381
8,2011,12.2329464162208,15.291183020276
9,2011,606.778849781809,758.473562227261
10,2011,571.162103949222,713.952629936528
11,2011,85.7287425965485,107.160928245686
12,2011,345.578678588025,431.973348235031
1,2012,84.9295226823224,106.161903352903
2,2012,62.2171784201528,77.771473025191
3,2012,95.3072370859816,119.134046357477
4,2012,82.3199217238424,102.899902154803
5,2012,165.980210075645,207.475262594556
6,2012,58.6592898436731,73.3241123045914
7,2012,85.6686305571522,107.08578819644
8,2012,24.713758443925,30.8921980549062
9,2012,86.7315444342491,108.414430542811
10,2012,21.3829903263388,26.7287379079235
11,2012,6.31742153560968,7.8967769195121
12,2012,77.560982974935,96.9512287186687
1,2013,44.3322370718604,55.4152963398255
2,2013,94.1989190352379,117.748648794047
3,2013,48.334818576997,60.4185232212463
4,2013,60.5317130383939,75.6646412979924
5,2013,19.9746925448322,24.9683656810403
6,2013,29.4155491503601,36.7694364379501
7,2013,25.8241870491728,32.280233811466
8,2013,15.1140717779142,18.8925897223927
9,2013,101.691771690214,127.114714612768
10,2013,12.3630278474952,15.453784809369
11,2013,12.4030208091955,15.5037760114944
12,2013,5.2868768000984,6.608596000123
1,2014,7.4188173505928,9.273521688241
2,2014,8.0181486643092,10.0226858303865
3,2014,5.6709542385264,7.088692798158
4,2014,6.44084724817496,8.0510590602187
5,2014,13.6577655061491,17.0722068826864
6,2014,19.6603386967776,24.575423370972
7,2014,11.0355893127465,13.7944866409331
8,2014,18.1121285850002,22.6401607312502
9,2014,88.7136341317023,110.892042664628
10,2014,115.04396457645,143.804955720563
11,2014,5.2696304157928,6.587038019741
12,2014,7.63927771815032,9.5490971476879
