"month","year","bif_kg"
1,2009,25.4092357805464
2,2009,43.2819288974608
3,2009,101.787646614789
4,2009,53.5327249936576
5,2009,44.4332373819184
6,2009,24.9094122777712
7,2009,28.5543422832776
8,2009,76.0147003570024
9,2009,87.8686733606315
10,2009,36.1985943589192
11,2009,32.1225192244294
12,2009,14.6578219873416
1,2010,37.841694139016
2,2010,23.0418802109456
3,2010,28.7698851647088
4,2010,45.76223009976
5,2010,72.7900763235775
6,2010,89.6704609502242
7,2010,50.5341269288458
8,2010,37.4864443228434
9,2010,82.9034583517696
10,2010,47.2803882718994
11,2010,89.3785470559082
12,2010,69.5835337191865
1,2011,134.392232104234
2,2011,174.018428076751
3,2011,110.408093946319
4,2011,208.014083587885
5,2011,165.674182167298
6,2011,179.373498034207
7,2011,310.048226179505
8,2011,12.2329464162208
9,2011,606.778849781809
10,2011,571.162103949222
11,2011,85.7287425965485
12,2011,345.578678588025
1,2012,84.9295226823224
2,2012,62.2171784201528
3,2012,95.3072370859816
4,2012,82.3199217238424
5,2012,165.980210075645
6,2012,58.6592898436731
7,2012,85.6686305571522
8,2012,24.713758443925
9,2012,86.7315444342491
10,2012,21.3829903263388
11,2012,6.31742153560968
12,2012,77.560982974935
1,2013,44.3322370718604
2,2013,94.1989190352379
3,2013,48.334818576997
4,2013,60.5317130383939
5,2013,19.9746925448322
6,2013,29.4155491503601
7,2013,25.8241870491728
8,2013,15.1140717779142
9,2013,101.691771690214
10,2013,12.3630278474952
11,2013,12.4030208091955
12,2013,5.2868768000984
1,2014,7.4188173505928
2,2014,8.0181486643092
3,2014,5.6709542385264
4,2014,6.44084724817496
5,2014,13.6577655061491
6,2014,19.6603386967776
7,2014,11.0355893127465
8,2014,18.1121285850002
9,2014,88.7136341317023
10,2014,115.04396457645
11,2014,5.2696304157928
12,2014,7.63927771815032
