"month","year","bif_kg_pgc","bif_kgha_pgc"
1,2009,12.5217144313401,0.00187950233499795
2,2009,14.9702244699457,0.00224702232278069
3,2009,19.7418466690278,0.00296324014695153
4,2009,26.4904405676928,0.0039762003178645
5,2009,20.5202078171965,0.00308007172009404
6,2009,22.7969068824961,0.00342180297684657
7,2009,28.4999656920797,0.00427782891546846
8,2009,24.5424274339502,0.00368380463566366
9,2009,27.6095923044767,0.00414418436781519
10,2009,16.2337217286059,0.00243667255485847
11,2009,17.2626065284955,0.0025911075880514
12,2009,8.17859924204319,0.00122760317340886
1,2010,10.771946879883,0.001616863203855
2,2010,10.1384619011542,0.0015217774627422
3,2010,14.190610791295,0.00213000274551316
4,2010,13.8412783371776,0.00207756813946904
5,2010,23.9883258652358,0.00360063430000913
6,2010,19.59664190279,0.00294144499272618
7,2010,14.1300021672158,0.00212090542492639
8,2010,11.2910985081321,0.00169478757298693
9,2010,23.9683382582491,0.00359763417137591
10,2010,15.5331855758175,0.00233152247000901
11,2010,9.03013709500821,0.00135541852902671
12,2010,34.6976611443802,0.0052080995376007
1,2011,38.3235273677715,0.00575234003043588
2,2011,36.8767584195507,0.005535180820226
3,2011,36.0997068438909,0.00541854581318487
4,2011,39.5532994279231,0.00593692812907398
5,2011,37.0534374269599,0.00556170024045329
6,2011,46.8394402536146,0.00703057379318017
7,2011,12.4540415181058,0.00186934466855879
8,2011,41.3473763330604,0.00620621806943006
9,2011,111.798883174961,0.0167809498555235
10,2011,37.8383333529844,0.00567951268009823
11,2011,36.4915461493283,0.00547736067384567
12,2011,31.8534638383989,0.00478118711222168
1,2012,41.1115705984189,0.00617082376050416
2,2012,30.7628530256348,0.00461748703900856
3,2012,17.5535142877274,0.00263477268005965
4,2012,16.8959166611959,0.00253606764399353
5,2012,33.2138068494917,0.00498537383759116
6,2012,28.7694711383641,0.00431828153226975
7,2012,16.9988805509737,0.00255152246627997
8,2012,95.8557516809588,0.014387894732404
9,2012,17.3790915716603,0.00260859192790129
10,2012,12.4168661008002,0.00186376465920676
11,2012,16.3127096560203,0.00244852859859961
12,2012,12.1117927714799,0.00181797332304851
1,2013,9.39431033153871,0.00141008072821325
2,2013,13.1362595474475,0.00197174521332095
3,2013,15.534305686213,0.0023316905979531
4,2013,28.7320528337899,0.0043126650656745
5,2013,21.2837560072662,0.00319467987650812
6,2013,19.0601721834198,0.00286092118779989
7,2013,43.683162886153,0.0065568183250633
8,2013,20.4595380690631,0.00307096522482091
9,2013,12.4480145796199,0.00186844002846184
10,2013,10.5634202976373,0.0015855634804514
11,2013,12.4758482624808,0.00187261784869688
12,2013,10.4448499571133,0.00156776613863384
1,2014,9.46986711087377,0.0014214217585461
2,2014,8.99215724915741,0.00134971777539981
3,2014,4.67398176519211,0.000701562049636701
4,2014,20.57854600072,0.00308882824882284
5,2014,12.1781262176164,0.00182792993622522
6,2014,10.1949730649536,0.00153025975683194
7,2014,10.9631210062943,0.00164555833333999
8,2014,42.6219278381284,0.006397527537713
9,2014,20.9926130803885,0.00315097948596773
10,2014,38.5966509652672,0.00579333572971101
11,2014,13.9278016321723,0.0020905552376708
12,2014,8.35878940984145,0.00125464961684738
