"month","year","bif_kg_folsom","bif_kgha_folsom"
1,2009,11.5347866837927,0.0014130884527397
2,2009,6.61409391202991,0.000810270704490594
3,2009,55.0047843072648,0.00673845366028711
4,2009,33.4148573208489,0.00409354332459235
5,2009,19.6325370384198,0.00240511698633802
6,2009,40.5404560326196,0.00496647678530453
7,2009,34.8244274713061,0.00426622508781353
8,2009,60.9126675808421,0.0074622088421455
9,2009,34.4151158073153,0.00421608167365142
10,2009,32.6015477473147,0.00399390746669836
11,2009,27.0874499880481,0.00331839364190905
12,2009,25.1539003288652,0.00308152088725039
1,2010,18.8751673315261,0.00231233413593906
2,2010,25.3714857575944,0.00310817655633646
3,2010,20.0399924678971,0.00245503299936752
4,2010,18.2131969985648,0.00223123834637598
5,2010,34.2004848516084,0.00418978794725456
6,2010,44.7489855115049,0.00548204977097436
7,2010,8.00600447537847,0.000980789050276555
8,2010,25.5485503035897,0.00312986814649713
9,2010,30.9817257942443,0.00379546845259902
10,2010,31.1569341938451,0.00381693265242222
11,2010,65.5590137379859,0.00803141729671681
12,2010,66.0298045106812,0.0080890923125441
1,2011,74.148928022818,0.00908373920076861
2,2011,81.4317640770348,0.00997593528670666
3,2011,71.9728515004675,0.00881715528462805
4,2011,94.7264631507111,0.0116046247682432
5,2011,90.238118355023,0.0110547725363322
6,2011,126.243654177191,0.0154656912901658
7,2011,113.792601552121,0.013940354136453
8,2011,127.299447499107,0.0155950330276923
9,2011,106.166175904946,0.0130060660292578
10,2011,95.3728636405683,0.0116838131479768
11,2011,73.4480519302527,0.00899787719565697
12,2011,99.1510818592308,0.0121466701286113
1,2012,23.1825284801944,0.00284001466162361
2,2012,53.3006266259655,0.00652968295588602
3,2012,62.0982858848386,0.0076074550075634
4,2012,48.1059052496703,0.00589329487231989
5,2012,49.009207551875,0.00600395544087399
6,2012,37.7442967695121,0.00462392858956979
7,2012,37.3412708416934,0.0045745552200947
8,2012,157.43793230355,0.0192871988238808
9,2012,139.279226712946,0.0170626360391318
10,2012,141.058337869355,0.0172805890451284
11,2012,112.655146541173,0.0138010082962963
12,2012,25.2915726244873,0.00309838666349219
1,2013,24.3927986211171,0.00298828084180677
2,2013,43.1117508583234,0.00528147758474686
3,2013,23.9987229091224,0.00294000393358207
4,2013,21.6660726962876,0.00265423869401599
5,2013,81.8241704373295,0.0100240076881923
6,2013,82.8451990041477,0.0101490905108955
7,2013,100.651741602904,0.0123305109757295
8,2013,85.9382778750034,0.0105280133428158
9,2013,24.2418294946849,0.00296978611493147
10,2013,18.7343829640032,0.00229508711009225
11,2013,46.0970126188499,0.00564719210013817
12,2013,17.7308019874176,0.00217214173379024
1,2014,18.9904604050114,0.00232645830791459
2,2014,13.0250771280613,0.0015956589913855
3,2014,20.1897301700383,0.00247337686853787
4,2014,16.7532445783525,0.00205238441841821
5,2014,24.5641479134752,0.00300927227520333
6,2014,20.708859329386,0.00253697365976292
7,2014,21.8216697808905,0.00267330037669463
8,2014,29.2383868834965,0.00358189778575254
9,2014,7.41329395739383,0.00090817805089342
10,2014,18.2340166129244,0.0022337888882671
11,2014,8.53777546938401,0.00104593455072928
12,2014,7.27586534107377,0.000891342126994564
